Title,Content,Detected Language,Predicted Sentiment,Actual Sentiment
‘Lindungi biodiversiti Sabah libatkan semua’,biodiversiti sabah yang tidak ternilai adalah warisan negara dan perlindungannya adalah tanggungjawab bersama untuk memastikan ia dapat dinikmati generasi akan datang kata ketua menteri datuk seri hajiji noor penjagaan sumber asli negeri dengan baik tidak mungkin dilakukan tanpa dasar yang jelas katanya mengulangi komitmen kepimpinan negeri terhadap pemuliharaan dan perlindungan keajaiban alam negeri supaya ia dapat dinikmati oleh generasi masa kini dan akan datang,id,unknown,positive
#Karnival Jari Hijau Sabah 2016 platform promosi usaha konservasi,melihat sabah amat mementingkan usaha pemuliharaan alam sekitar ripples consultancy sdn bhd mengambil langkah menganjurkan karnival jari hijau sabah 2016 bagi meneruskan usaha meningkatkan kesedaran mengenai kepentingan konservasi kepada masyarakat di negeri ini pengarah ripples consultancy freddy tan berkata bagi memastikan pertubuhan bukan kerajaan ngo mempunyai medium yang lebih besar untuk mempromosikan usaha konservasi maka syarikat konsultasi itu mengambil inisiatif menyediakan platform berkenaan kebiasaannya ngo bergerak secara sendiri meningkatkan kesedaran mengenai konservasi kepada orang awam maka dengan adanya karnival sedemikian ia diharap dapat menghimpunkan ngo berkaitan untuk bersatu mempromosikan usaha konservasi kepada masyarakat sabah secara keseluruhannya,ms,negative,positive
Lebih 700 pelajar sertai Hari Alam Sekitar Institut Sinaran,lebih 700 pelajar daripada 21 sekolah menengah sekitar sabah telah menyertai hari alam sekitar anjuran institut sinaran diadakan sempena hari alam sekitar sedunia institut sinaran turut mengadakan pameran bertemakan 7 billion dreams one planet consume with care bagi meningkatkan kesedaran masyarakat mengenai kepentingan alam sekitar pengerusi lembaga pentadbiran institut sinaran fong tet kong berkata semua masyarakat perlu bekerjasama bagi memastikan kesejahteraan serta kemapanan alam sekitar yang berterusan kita harus bersamasama membantu mengurangkan pencemaran menjimatkan penggunaan sumber di samping mengurangkan lagi impak negatif terhadap alam sekitar usaha ini penting bagi memastikan kestabilan dan kemapanan alam sekitar berterusan pada masa hadapan khususnya di sabah katanya ketika majlis penutupan hari alam sekitar institut sinaran di sini kelmarin,ms,positive,positive
Sabah Terajui Kelestarian Alam Sekitar Secara Konsisiten,kerajaan negeri terus menerajui kelestarian alam sekitar melalui inisiatif pengurusan yang konsistenmenteri sumber asli dan kelestarian alam nik nazmi nik ahmad berkata inisiatif yang dilaksanakan merupakan usaha berterusan agar kelestarian alam sekitar terus terpelihara melalui kajian yang dijalankan oleh national geographic mendedahkan bahawa bagi keluasan 10 kilometer persegi sabah mempunyai lebih banyak flora dan fauna berbanding benua amerika utara dan eropah usaha ini menunjukkan komitmen kerajaan negeri dalam melestarikan alam melalui pelbagai inisiatif seperti pengurusan sungai yang cemerlang serta program kesedaran alam sekitar yang konsisten,ms,positive,positive
Mobiliti Mampan & Tenaga Boleh Baharu dilancar di Sabah,sustainable future sf bersama rakan strategik borneo sabah energy bse dan koperasi permodalan felda kpf sebagai syarikat bersekutu melancarkan projek sustainable mobility electric vehicle  renewable energy solution di pusat konvensyen antarabangsa sabah sicc di sini hari ini majlis pelancaran disempurnakan oleh yang dipertua negeri sabah tun juhar mahiruddin turut hadir isteri tun juhar toh puan norlidah rm jasni dan pembantu menteri kepada ketua menteri datuk nizam abu bakar titingan majlis ini mencerminkan usaha bersama ketigatiga organisasi untuk memperkukuh agenda tenaga hijau di sabah sekaligus menjadi langkah penting dalam merealisasikan aspirasi negeri ini ke arah pembangunan mampan pengerusi sf datuk mohd banuri aris berkata sebagai peneraju dalam teknologi mampan sf terus komited untuk memperkenalkan penyelesaian inovatif yang bukan sahaja mesra alam tetapi juga menyokong pertumbuhan ekonomi dengan mengintegrasikan penggunaan kenderaan elektrik ev dan tenaga boleh baharu sf percaya teknologi ini adalah kunci utama dalam menangani cabaran perubahan iklim serta mengubah landskap pengangkutan di sabah,id,unknown,positive
Sabah tubuh SCAC tangani isu perubahan iklim,kerajaan negeri menubuhkan majlis tindakan lklim sabah scac yang akan bertindak dalam menetapkan hala tuju dan menyelaras projekprojek mitigasi dan adaptasi perubahan iklim di sabah ketua menteri datuk seri panglima hajiji haji noor berkata sabah telah membuat pindaan ke atas ordinan tanah sabah bab 68 dengan memasukkan peruntukan perundangan berkaitan penyimpanan karbon yang mula berkuatkuasa pada 19 jun 2023 selain itu sabah juga baru sahaja menyelesaikan kajian inventori green house gas ghg sabah dan penilaian kerentanan untuk pembangunan dasar perubahan lklim sabah ke arah pembangunan rendah karbon sabah katanya beliau berkata demikian pada sesi libat urus kementerian ekonomi malaysia bersama kerajaan negeri sabah mengenai pelaksanaan inisiatif pemerangkapan penggunaan dan penyimpanan karbon ccus di malaysia di sini pada jumaat,ms,negative,positive
"Kerajaan perkasa dasar, mantapkan pengurusan alam sekitar",dalam usaha memantapkan pengurusan alam sekitar di negeri ini kerajaan memperkasakan pelaksanaan dasar alam sekitar negeri sabah bagi memastikan perancangan pembangunan dilaksanakan secara mampan menteri pelancongan kebudayaan dan alam sekitar datuk christina liew berkata usaha berkenaan memerlukan penglibatan kerjasama daripada pelbagai kementerian jabatan dan organisasi kerajaan dan bukan kerajaan selain itu katanya penghasilan dan penggunaan pelan pengurusan pesisir pantai oleh jabatan perlindungan alam sekitar dan agensi berkaitan untuk memastikan pembangunan di kawasan pesisir pantai turut dilaksanakan secara mampan menurutnya kerajaan turut memperkenalkan environmental selfregulation esr bagi meningkatkan kerjasama dan kolaborasi dengan pihakpihak berkepentingan serta pelaksanaan programprogram kesedaran alam sekitar kepada pelbagai kumpulan sasar ia termasuklah program sekolah rakan alam sekitar serasi iaitu salah satu flagship programme kesedaran alam sekitar kita di sabah saya amat mengalualukan usaha dan inisiatif pelbagai pihak untuk bersamasama mencapai aspirasi pembangunan mampan di sabah melalui kolaborasi yang mantap dan berterusan katanya,ms,positive,positive
Sabah terus mengutamakan agroperhutanan,sabah bertekad untuk mengguna pakai pendekatan agroperhutanan bagi meningkatkan perkhidmatan ekosistem memperkukuhkan daya tahan terhadap perubahan iklim menyokong kehidupan di luar bandar dan memastikan keselamatan makanan ketua menteri datuk seri panglima hajiji haji noor berkata agroperhutanan telah menampakkan kejayaan luar biasa di sabah model itu telah memperbaiki tahap kesuburan tanah meningkatkan hasil tanaman dan memberikan manfaat ekonomi kepada komuniti tempatan jabatan perhutanan sabah telah melakukan banyak usaha dalam hal ini katanya pada persidangan antarabangsa mengenai biodiversiti agroperhutanan produk hutan bukan kayu dan kehidupan lestari icbans 2024 di sini hari ini,ms,positive,positive
Langkah tuntas pengurusan sumber hutan Sabah,kebimbangan mengenai alam sekitar kini semakin mendapat perhatian bukan sahaja di kalangan masyarakat malaysia tetapi di peringkat global kerana perkara itu berhubung kait dengan perubahan iklim malaysia amnya dan sabah khasnya berada pada landasan betul kerana mempunyai dasar pengurusan sumber hutan yang mampan lebih mengujakan ialah persidangan antarabangsa heart of borneo hob di kota kinabalu pada 24 ogos lalu telah menyajikan satu misi baharu tentang hala tuju pengurusan hutan jangka panjang di sabah persidangan yang berprestij dan bertaraf antarabangsa itu sangat signifikan kerana ia menghimpunkan pelbagai individu dan pihak yang berkepentingan dari seluruh dunia untuk bekerjasama dalam usaha pemuliharaan alam sekitar lebih spesifik lagi persidangan itu menyaksikan kehadiran ramai ahli cendekiawan ahli saintis pakarpakar pencinta alam dan individu yang tidak asing lagi dengan isuisu berkaitan alam sekitar termasuklah halhal melindungi spesis hidupan liar,ms,negative,positive
Kelab Skuba Sabah komited melindungi alam sekitar,kelab skuba sabah meneruskan komitmennya terhadap usaha pemuliharaan program sepanjang hari pada hari ahad lalu menyaksikan ahli kelab bukan sahaja menggunakan masa mereka tetapi juga menanggung kos sendiri untuk pembersihan dasar laut seramai 28 orang berjaya mengumpulkan 100 kilogram sampah dari pulau marimari sepanggar para penyelam berjaya memungut pelbagai jenis bahan sisa sekali gus mahu satu usaha pemuliharaan yang berterusan presiden kelab sim fui berkata lautan kini dicemari sampah dan usaha pembersihan perlu dilakukan dengan membersihkannya sekarang kita dapat melindungi destinasi kawasan menyelam kita untuk generasi akan datang katanya dalam satu kenyataan,ms,negative,positive
DBKK mahu perluas kempen kesedaran alam sekitar,dewan bandaraya kota kinabalu dbkk berharap dapat memperluaskan kempen kesedaran alam sekitar dengan melibatkan lebih banyak sekolah untuk membantu golongan muda lebih menghargai planet ini mayor datuk seri sabin samitah menekankan pentingnya tanggungjawab bersama dalam mengekalkan kebersihan sambil menyatakan generasi muda adalah pemacu utama perubahan ke arah masa depan yang lebih lestari golongan muda boleh memainkan peranan penting untuk alam sekitar dengan mengamalkan amalan lestari seperti kitar semula dan mengurangkan penggunaan beg plastik yang memberi impak besar dalam melindungi planet ini katanya bercakap semasa pelancaran kempen kesedaran kesihatan alam sekitar dbkk rabu lalu di sekolah menengah all saints sabin berkata menjaga kebersihan alam sekitar adalah tanggungjawab seluruh komuniti bukan hanya pihak berkuasa saya berharap pelajar dan guru dapat bekerjasama untuk memastikan sekolah dan kawasan sekeliling mereka sentiasa bersih sekolah yang lebih bersih akan membawa kepada persekitaran yang lebih sihat dan selamat yang akhirnya akan menghasilkan komuniti yang berkembang maju katanya teks ucapannya disampaikan oleh ketua pengarah dbkk lifred wong dengan tema sekolah lebih sihat komuniti berkembang maju sabin berkata kempen ini dilancarkan untuk meningkatkan kesedaran dan memupuk rasa tanggungjawab bersama yang lebih besar dalam kalangan warga bandaraya untuk menjaga kesihatan alam sekitar terutamanya di sekolah katanya peralihan kempen dari misi anti sampah sebelum ini kepada inisiatif bersih dan hijau adalah langkah ke arah yang betul dengan penekanan baharu pada amalan hijau seperti kitar semula mengurangkan penggunaan plastik dan menggalakkan penggunaan beg yang boleh diguna semula sabin berkata objektif utama kempen ini adalah untuk meningkatkan kesedaran mengenai penjagaan persekitaran yang bersih dan selamat keselamatan makanan menanam amalan tandas bersih memupuk kesedaran dalam kalangan pelajar dan guru mengenai pembasmian vektor penyakit lilatin lipas tikus lalat dan nyamuk selain itu katanya pelancaran program ini juga bertujuan untuk mempromosikan pemilikan anjing yang bertanggungjawab dan mengurangkan penggunaan beg plastik selaras dengan inisiatif bawa beg sendiri dengan sokongan dan kerjasama daripada semua pihak kami yakin kota kinabalu akan menjadi tempat yang bersih hijau dan selamat untuk didiami bekerja dan dinikmati oleh semua kata sabin beliau turut menggesa sm all saints untuk mendapatkan pengiktirafan sebagai premis bersih dan hijau bercakap kepada pemberita selepas acara tersebut lifred berkata usaha berterusan dbkk untuk mengurangkan penggunaan plastik telah menerima sokongan positif dan menggalakkan daripada orang ramai yang menyedari kelebihan jangka panjang inisiatif ini kami menerima banyak galakan dan ini mendorong kami untuk meneruskan kempen ini jelas bahawa orang ramai sudah sedar akan isuisu alam sekitar katanya lifred turut berkata selain kk menjadi yang paling aktif dalam kempen ini pihak berkuasa tempatan pbt lain seperti penampang dan putatan turut serta dalam gerakan untuk mengurangkan kebergantungan pada plastik diharapkan kempen ini akan diikuti oleh pbt lain sebagai salah satu langkah drastik pertama yang bertujuan mengurangkan sisa plastik dan kesan buruknya terhadap alam sekitar tambahnya sementara itu pengetua sm all saints dr mary gambidau berkata kempen kesedaran alam sekitar yang diketuai oleh dbkk memberikan pelajar pendidikan dan kesedaran yang amat berharga tentang pentingnya kebersihan alam sekitar serta mengurangkan kebergantungan pada plastik peserta program ini terdiri daripada pelajar tingkatan 1 hingga 3 dan diharapkan pendedahan awal ini dapat meluasakan pengetahuan mereka tentang isuisu alam sekitar serta meningkatkan rasa tanggungjawab dan sumbangan mereka ke arah dunia yang lebih bersih dan hijau katanya menurut mary sekolah juga mengadakan program alam sekitar seperti menjaga kebersihan di dalam kelas tandas dan kawasan sekolah mengurangkan penggunaan plastik dan menghasilkan baja kompos organik daripada sisa makanan sm all saints telah menjalin kerjasama antarabangsa dengan dua institusi pendidikan jepun iaitu arima senior high school dan hokkaido sapporo keisei high school kerjasama ini tertumpu pada penyelidikan alam sekitar khususnya kajian mengenai mikroplastik dan kesannya terhadap ekosistem pantai katanya semasa majlis pelancaran dbkk turut menyumbangkan anak pokok kepada sekolah sebagai sebahagian daripada inisiatif penghijauan bandar dan kempen menanam pokok untuk memastikan persekitaran lestari serta menangani perubahan iklim selain itu dbkk juga akan menganjurkan pertandingan tandas sekolah terbersih yang akan diadakan sempena hari tandas sedunia pada 19 november,ms,negative,positive
"Belia perlu terus main peranan jaga, laksana konservasi alam sekitar",belia perlu terus memainkan peranan penting dalam menjaga atau melaksanakan konservasi alam sekitar timbalan ketua konservator hutan penyelidikan dan pembangunan jabatan perhutanan sabah dr robert ong berkata ini penting agar usaha berkaitan dapat dilaksanakan dengan sebaiknya belia juga sudah pasti mempunyai banyak idea yang kreatif dan mampu untuk mempromosi serta bertindak sebagai penjaga alam sekitar di lokasi masingmasing jelasnya beliau berkata demikian ketika berucap menyempurnakan majlis penutupan eerace 26  kursus pendidikan alam sekitar bertemakan youths as guardians of the environment di rainforest hall pusat penerokaan hutan hujan rdc batu 14 di sini pada sabtu lepas hadir sama pengurus rdc dan ketua urusetia program itu bernadette d joeman sejak 2006 jabatan dengan kerjasama ahli sabah environmental education network seen serta beberapa agensi swasta telah menganjurkan 25 kursus eerace termasuk tiga percubaan seterusnya pada 2011 selaras dengan pelaksanaan inisiatif heart of borneo hob eerace telah ditambahbaik untuk memberi penekanan kepada isuisu konservasi di kawasan hob eerace adalah kursus berkonsepkan perlumbaan untuk mendapatkan maklumat mengenai alam sekitar secara pembelajaran melalui pengalaman dr robert berkata eerace tahun ini unik kerana buat pertama kali penyertaannya bukan hanya untuk guruguru tetapi turut disasarkan kepada belia berumur antara 21 hingga 40 tahun malah peserta termuda kali ini berumur 19 tahun pemilihan belia jelas kerana mereka amat penting dalam menjalankan usahausaha konservasi alam sekitar belia juga golongan yang berpotensi melakukan inovasi dalam menangani masalah serta isuisu alam sekitar yang masih belum dapat diselesaikan jelasnya kursus eerace kali ini disertai oleh 42 belia yang terdiri daripada guru serta wakil pelbagai agensi kerajaan ngo dan swasta ini termasuk wakil daripada jabatan hutan sarawak institut penyelidikan perhutanan malaysia frim jabatan perhutanan brunei darussalam 13 guru dari 13 sekolah di sabah guru dari dua sekolah di pulau pinang dua dari universiti malaysia sabah ums kampus sandakan institut perguruan tawau kent dan gaya pusat pemuliharaan beruang madu borneo sandakan bsbcc reef check malaysia ehijau millenium explorer sawit kinabalu safoda dan kopel juga jabatan kerajaan antaranya jabatan hidupan liar tamantaman sabah politeknik sandakan kolej komuniti sandakan dan kolej vokasional sandakan 16 lokasi utama dalam eerace kali ini adalah hutan simpan tawai hutan simpan taviu tuaty memorial sg kun kun hutan simpan deramakot kg baru pulau timbang kg bambangan mangrove discovery centre ioi ladang sabah tropical rainforest living collection bukit piton pusat pelupusan sampah batu 8 sandakan pusat pemulihan orang utan sepilok bsbcc santuari gajah borneo serta kg sukau kinabatangan pada majlis itu kumpulan m diumumkan sebagai kumpulan terbaik manakala wan nor izzati wan mohamad din dari kolej vokasional sandakan merupakan peserta terbaik kumpulan m terdiri daripada mohammad yunus kasim sk pitas sandakan siti maryam norhan smk muhibbah owais al qarni abdullah sidek jabatan perhutanan sarawak christal chong siau teng sk merpati mohd fikri b mohd bakri ehijau millenium explorer calvin jenneh legada reef check malaysia dan ong soon yeong sjkc pulau betong pada majlis itu dr robert turut menyeru belia untuk menggunakan sebaik mungkin ilmu pengetahuan serta pengalaman yang diperolehi menerusi eerace untuk melakukan sesuatu tindakan wajar untuk memperbaiki mutu alam sekitar,ms,positive,positive
Penduduk Papar paling terjejas akibat kemarau di Sabah,papar kirakira 150000 penduduk daerah ini berdepan masalah air yang kritikal selain pencemaran udara disebabkan kebakaran hutan berikutan cuaca panas dan kering yang berpanjangan sejak lebih sebulan lalu ketika ini kebanyakan penduduk terpaksa bergantung kepada bekalan air bersih yang dihantar pusat kawalan operasi bencana pkob daerah yang digerakkan selepas papar diisytiharkan sebagai kawasan bencana kemarau sejak 13 mac lalu menerusi kenyataan pengerusi jawatankuasa pengurusan bencana daerah jpbd papar mohd fuad abdullah sebanyak 44 kampung 37 sekolah 19 taman perumahan dan lapan rumah ibadat membabitkan 150000 penduduk di sekitar daerah ini terjejas akibat situasi itu katanya pkob menyewa 11 lori untuk melaksanakan penghantaran bekalan air bersih di semua kawasan terbabit selain dibantu 15 lori agensi kerajaan dan enam lori sukarelawan yang membabitkan 200 petugas dari 27 agensi kerajaan swasta dan badan bukan kerajaan ngo bulan sabit merah malaysia bsmm juga meneruskan usahanya merawat air sungai papar di kampung mandalipau menerusi kaedah water sanitation and hygine wash untuk membekal air bersih kepada penduduk kampung katanya ahli parlimen papar yang juga menteri perdagangan dalam negeri dan kos sara hidup datuk armizan mohd ali turut membantu menggerakkan operasi penghantaran air menerusi pejabat ahli parlimen papar kepada penduduk yang terjejas masalah air di daerah ini berpunca daripada penutupan sebuah loji rawatan air lra berkapasiti 10 juta liter sehari mld yang membekal air bersih kepada penduduk daerah ini sejak lebih sebulan lalu selain penurunan separuh kapasiti satu lagi lra berkeupayaan 10 mld disebabkan isu air mentah ketiadaan hujan yang lama menyebabkan air sungai papar di keduadua muka sauk lra terbabit masingmasing lra skim bekalan air kecemasan ewss limbahau dan lra jetama limbahau dimasuki air masin hingga mencecah lebih 4000 miligram per liter mgl berbanding had maksimum 120 mgl yang boleh dirawat penduduk kampung kimanis juniah umpai 70 berkata di sekitar kawasannya bekalan air paip terhenti sejak awal februari lalu menyebabkan penduduk terpaksa mengambil air di sungai kimanis sebanyak 1000 liter setiap hari selain mengharapkan bantuan air yang dihantar dengan lori lebih sebulan sudah tiada hujan air paip pun tiada jadi kami hanya bergantung kepada air sungai kimanis selain yang dihantar dengan lori selain itu kami juga terpaksa membeli air minuman dalam botol dengan kos kirakira rm150 seminggu katanya pada masa yang sama penduduk kampung turut bimbang terhadap peningkatan kebakaran hutan dan belukar berhampiran kawasan mereka dikhuatiri merebak hingga ke kawasan kediaman selain bau asap yang menyesakkan nafas berdasarkan bacaan indeks pencemaran alam sekitar api dikeluarkan jabatan alam sekitar jas kadar pencemaran udara di sekitar kimanis berada pada paras tidak sihat dengan bacaan melebihi 100 sejak beberapa hari lalu menjadijannya kawasan paling terjejas di sabah ketika ini papar diisytihar kawasan bencana kemarau setakat ini hanya daerah papar diisytiharkan sebagai kawasan bencana kemarau di sabah disebabkan masalah air yang kritikal dihadapi hampir keseluruhan penduduk daerah ini termasuk di kawasan kimanis dan kinarut sementara itu agensi pengurusan bencana negara nadma dengan kerjasama jabatan meteorologi malaysia metmalaysia dan tentera udara diraja malaysia tudm sudah memulakan operasi pembenihan awan yang menumpukan daerah ini dan lahad datu selain tawau bermula semalam hingga esok berdasarkan maklum balas netizen hujan lebat dilaporkan di sekitar lahad datu dan tawau semalam dipercayai hasil daripada operasi pembenihan awan terbabit manakala beberapa kawasan di sekitar papar dan kota kinabalu dilaporkan berlaku hujan renyairenyai setakat tengah hari ini,ms,negative,negative
