Title,Content,Language,Sentiment
‘Lindungi biodiversiti Sabah libatkan semua’,biodiversiti sabah yang tidak ternilai adalah warisan negara dan perlindungannya adalah tanggungjawab bersama untuk memastikan ia dapat dinikmati generasi akan datang kata ketua menteri datuk seri hajiji noor penjagaan sumber asli negeri dengan baik tidak mungkin dilakukan tanpa dasar yang jelas katanya mengulangi komitmen kepimpinan negeri terhadap pemuliharaan dan perlindungan keajaiban alam negeri supaya ia dapat dinikmati oleh generasi masa kini dan akan datang,id,unknown
#Karnival Jari Hijau Sabah 2016 platform promosi usaha konservasi,melihat sabah amat mementingkan usaha pemuliharaan alam sekitar ripples consultancy sdn bhd mengambil langkah menganjurkan karnival jari hijau sabah 2016 bagi meneruskan usaha meningkatkan kesedaran mengenai kepentingan konservasi kepada masyarakat di negeri ini pengarah ripples consultancy freddy tan berkata bagi memastikan pertubuhan bukan kerajaan ngo mempunyai medium yang lebih besar untuk mempromosikan usaha konservasi maka syarikat konsultasi itu mengambil inisiatif menyediakan platform berkenaan kebiasaannya ngo bergerak secara sendiri meningkatkan kesedaran mengenai konservasi kepada orang awam maka dengan adanya karnival sedemikian ia diharap dapat menghimpunkan ngo berkaitan untuk bersatu mempromosikan usaha konservasi kepada masyarakat sabah secara keseluruhannya,ms,negative
Lebih 700 pelajar sertai Hari Alam Sekitar Institut Sinaran,lebih 700 pelajar daripada 21 sekolah menengah sekitar sabah telah menyertai hari alam sekitar anjuran institut sinaran diadakan sempena hari alam sekitar sedunia institut sinaran turut mengadakan pameran bertemakan 7 billion dreams one planet consume with care bagi meningkatkan kesedaran masyarakat mengenai kepentingan alam sekitar pengerusi lembaga pentadbiran institut sinaran fong tet kong berkata semua masyarakat perlu bekerjasama bagi memastikan kesejahteraan serta kemapanan alam sekitar yang berterusan kita harus bersamasama membantu mengurangkan pencemaran menjimatkan penggunaan sumber di samping mengurangkan lagi impak negatif terhadap alam sekitar usaha ini penting bagi memastikan kestabilan dan kemapanan alam sekitar berterusan pada masa hadapan khususnya di sabah katanya ketika majlis penutupan hari alam sekitar institut sinaran di sini kelmarin,ms,positive
Sabah Terajui Kelestarian Alam Sekitar Secara Konsisiten,kerajaan negeri terus menerajui kelestarian alam sekitar melalui inisiatif pengurusan yang konsistenmenteri sumber asli dan kelestarian alam nik nazmi nik ahmad berkata inisiatif yang dilaksanakan merupakan usaha berterusan agar kelestarian alam sekitar terus terpelihara melalui kajian yang dijalankan oleh national geographic mendedahkan bahawa bagi keluasan 10 kilometer persegi sabah mempunyai lebih banyak flora dan fauna berbanding benua amerika utara dan eropah usaha ini menunjukkan komitmen kerajaan negeri dalam melestarikan alam melalui pelbagai inisiatif seperti pengurusan sungai yang cemerlang serta program kesedaran alam sekitar yang konsisten,ms,positive
Mobiliti Mampan & Tenaga Boleh Baharu dilancar di Sabah,sustainable future sf bersama rakan strategik borneo sabah energy bse dan koperasi permodalan felda kpf sebagai syarikat bersekutu melancarkan projek sustainable mobility electric vehicle  renewable energy solution di pusat konvensyen antarabangsa sabah sicc di sini hari ini majlis pelancaran disempurnakan oleh yang dipertua negeri sabah tun juhar mahiruddin turut hadir isteri tun juhar toh puan norlidah rm jasni dan pembantu menteri kepada ketua menteri datuk nizam abu bakar titingan majlis ini mencerminkan usaha bersama ketigatiga organisasi untuk memperkukuh agenda tenaga hijau di sabah sekaligus menjadi langkah penting dalam merealisasikan aspirasi negeri ini ke arah pembangunan mampan pengerusi sf datuk mohd banuri aris berkata sebagai peneraju dalam teknologi mampan sf terus komited untuk memperkenalkan penyelesaian inovatif yang bukan sahaja mesra alam tetapi juga menyokong pertumbuhan ekonomi dengan mengintegrasikan penggunaan kenderaan elektrik ev dan tenaga boleh baharu sf percaya teknologi ini adalah kunci utama dalam menangani cabaran perubahan iklim serta mengubah landskap pengangkutan di sabah,id,unknown
Sabah tubuh SCAC tangani isu perubahan iklim,kerajaan negeri menubuhkan majlis tindakan lklim sabah scac yang akan bertindak dalam menetapkan hala tuju dan menyelaras projekprojek mitigasi dan adaptasi perubahan iklim di sabah ketua menteri datuk seri panglima hajiji haji noor berkata sabah telah membuat pindaan ke atas ordinan tanah sabah bab 68 dengan memasukkan peruntukan perundangan berkaitan penyimpanan karbon yang mula berkuatkuasa pada 19 jun 2023 selain itu sabah juga baru sahaja menyelesaikan kajian inventori green house gas ghg sabah dan penilaian kerentanan untuk pembangunan dasar perubahan lklim sabah ke arah pembangunan rendah karbon sabah katanya beliau berkata demikian pada sesi libat urus kementerian ekonomi malaysia bersama kerajaan negeri sabah mengenai pelaksanaan inisiatif pemerangkapan penggunaan dan penyimpanan karbon ccus di malaysia di sini pada jumaat,ms,negative
"Kerajaan perkasa dasar, mantapkan pengurusan alam sekitar",dalam usaha memantapkan pengurusan alam sekitar di negeri ini kerajaan memperkasakan pelaksanaan dasar alam sekitar negeri sabah bagi memastikan perancangan pembangunan dilaksanakan secara mampan menteri pelancongan kebudayaan dan alam sekitar datuk christina liew berkata usaha berkenaan memerlukan penglibatan kerjasama daripada pelbagai kementerian jabatan dan organisasi kerajaan dan bukan kerajaan selain itu katanya penghasilan dan penggunaan pelan pengurusan pesisir pantai oleh jabatan perlindungan alam sekitar dan agensi berkaitan untuk memastikan pembangunan di kawasan pesisir pantai turut dilaksanakan secara mampan menurutnya kerajaan turut memperkenalkan environmental selfregulation esr bagi meningkatkan kerjasama dan kolaborasi dengan pihakpihak berkepentingan serta pelaksanaan programprogram kesedaran alam sekitar kepada pelbagai kumpulan sasar ia termasuklah program sekolah rakan alam sekitar serasi iaitu salah satu flagship programme kesedaran alam sekitar kita di sabah saya amat mengalualukan usaha dan inisiatif pelbagai pihak untuk bersamasama mencapai aspirasi pembangunan mampan di sabah melalui kolaborasi yang mantap dan berterusan katanya,ms,positive
Sabah terus mengutamakan agroperhutanan,sabah bertekad untuk mengguna pakai pendekatan agroperhutanan bagi meningkatkan perkhidmatan ekosistem memperkukuhkan daya tahan terhadap perubahan iklim menyokong kehidupan di luar bandar dan memastikan keselamatan makanan ketua menteri datuk seri panglima hajiji haji noor berkata agroperhutanan telah menampakkan kejayaan luar biasa di sabah model itu telah memperbaiki tahap kesuburan tanah meningkatkan hasil tanaman dan memberikan manfaat ekonomi kepada komuniti tempatan jabatan perhutanan sabah telah melakukan banyak usaha dalam hal ini katanya pada persidangan antarabangsa mengenai biodiversiti agroperhutanan produk hutan bukan kayu dan kehidupan lestari icbans 2024 di sini hari ini,ms,positive
Langkah tuntas pengurusan sumber hutan Sabah,kebimbangan mengenai alam sekitar kini semakin mendapat perhatian bukan sahaja di kalangan masyarakat malaysia tetapi di peringkat global kerana perkara itu berhubung kait dengan perubahan iklim malaysia amnya dan sabah khasnya berada pada landasan betul kerana mempunyai dasar pengurusan sumber hutan yang mampan lebih mengujakan ialah persidangan antarabangsa heart of borneo hob di kota kinabalu pada 24 ogos lalu telah menyajikan satu misi baharu tentang hala tuju pengurusan hutan jangka panjang di sabah persidangan yang berprestij dan bertaraf antarabangsa itu sangat signifikan kerana ia menghimpunkan pelbagai individu dan pihak yang berkepentingan dari seluruh dunia untuk bekerjasama dalam usaha pemuliharaan alam sekitar lebih spesifik lagi persidangan itu menyaksikan kehadiran ramai ahli cendekiawan ahli saintis pakarpakar pencinta alam dan individu yang tidak asing lagi dengan isuisu berkaitan alam sekitar termasuklah halhal melindungi spesis hidupan liar,ms,negative
Kelab Skuba Sabah komited melindungi alam sekitar,kelab skuba sabah meneruskan komitmennya terhadap usaha pemuliharaan program sepanjang hari pada hari ahad lalu menyaksikan ahli kelab bukan sahaja menggunakan masa mereka tetapi juga menanggung kos sendiri untuk pembersihan dasar laut seramai 28 orang berjaya mengumpulkan 100 kilogram sampah dari pulau marimari sepanggar para penyelam berjaya memungut pelbagai jenis bahan sisa sekali gus mahu satu usaha pemuliharaan yang berterusan presiden kelab sim fui berkata lautan kini dicemari sampah dan usaha pembersihan perlu dilakukan dengan membersihkannya sekarang kita dapat melindungi destinasi kawasan menyelam kita untuk generasi akan datang katanya dalam satu kenyataan,ms,negative
