Title,Content,Language,Sentiment
‘Lindungi biodiversiti Sabah libatkan semua’,"Biodiversiti Sabah yang tidak ternilai adalah warisan negara, dan perlindungannya adalah tanggungjawab bersama untuk memastikan ia dapat dinikmati generasi akan datang, kata Ketua Menteri Datuk Seri Hajiji Noor. “Penjagaan sumber asli negeri dengan baik tidak mungkin dilakukan tanpa dasar yang jelas,” katanya, mengulangi komitmen kepimpinan negeri terhadap pemuliharaan dan perlindungan keajaiban alam negeri, supaya ia dapat dinikmati oleh generasi masa kini dan akan datang.",ms,positive
#Karnival Jari Hijau Sabah 2016 platform promosi usaha konservasi,"Melihat Sabah amat mementingkan usaha pemuliharaan alam sekitar, Ripples Consultancy Sdn Bhd mengambil langkah menganjurkan #Karnival Jari Hijau Sabah 2016 bagi meneruskan usaha meningkatkan kesedaran mengenai kepentingan konservasi kepada masyarakat di negeri ini. Pengarah Ripples Consultancy Freddy Tan berkata bagi memastikan pertubuhan bukan kerajaan (NGO) mempunyai medium yang lebih besar untuk mempromosikan usaha konservasi maka, syarikat konsultasi itu mengambil inisiatif menyediakan platform berkenaan. Kebiasaannya, NGO bergerak secara sendiri meningkatkan kesedaran mengenai konservasi kepada orang awam. Maka, dengan adanya karnival sedemikian, ia diharap dapat menghimpunkan NGO berkaitan untuk bersatu mempromosikan usaha konservasi kepada masyarakat Sabah secara keseluruhannya.",ms,positive
Lebih 700 pelajar sertai Hari Alam Sekitar Institut Sinaran,"Lebih 700 pelajar daripada 21 sekolah menengah sekitar Sabah telah menyertai Hari Alam Sekitar anjuran Institut Sinaran. Diadakan sempena Hari Alam Sekitar Sedunia, Institut Sinaran turut mengadakan pameran bertemakan ‘7 Billion Dreams. One Planet. Consume with Care’ bagi meningkatkan kesedaran masyarakat mengenai kepentingan alam sekitar. Pengerusi Lembaga Pentadbiran Institut Sinaran Fong Tet Kong berkata, semua masyarakat perlu bekerjasama bagi memastikan kesejahteraan serta kemapanan alam sekitar yang berterusan. “Kita harus bersama-sama membantu mengurangkan pencemaran, menjimatkan penggunaan sumber di samping mengurangkan lagi impak negatif terhadap alam sekitar. “Usaha ini penting bagi memastikan kestabilan dan kemapanan alam sekitar berterusan pada masa hadapan khususnya di Sabah,” katanya ketika majlis penutupan Hari Alam Sekitar Institut Sinaran, di sini kelmarin.",ms,positive
Sabah Terajui Kelestarian Alam Sekitar Secara Konsisiten,"Kerajaan negeri terus menerajui kelestarian alam sekitar melalui inisiatif pengurusan yang konsisten.Menteri Sumber Asli dan Kelestarian Alam, Nik Nazmi Nik Ahmad berkata inisiatif yang dilaksanakan merupakan usaha berterusan agar kelestarian alam sekitar terus terpelihara. “Melalui kajian yang dijalankan oleh National Geographic mendedahkan bahawa bagi keluasan 10 kilometer persegi, Sabah mempunyai lebih banyak flora dan fauna berbanding benua Amerika Utara dan Eropah. “Usaha ini menunjukkan komitmen kerajaan negeri dalam melestarikan alam melalui pelbagai inisiatif seperti pengurusan sungai yang cemerlang serta program kesedaran alam sekitar yang konsisten.",ms,positive
Mobiliti Mampan & Tenaga Boleh Baharu dilancar di Sabah,"Sustainable Future (SF), bersama rakan strategik Borneo Sabah Energy (BSE) dan Koperasi Permodalan FELDA (KPF) sebagai syarikat bersekutu melancarkan Projek “Sustainable Mobility (Electric Vehicle) & Renewable Energy Solution” di Pusat Konvensyen Antarabangsa Sabah (SICC) di sini, hari ini. Majlis pelancaran disempurnakan oleh Yang di-Pertua Negeri Sabah Tun Juhar Mahiruddin. Turut hadir isteri Tun Juhar, Toh Puan Norlidah RM Jasni dan Pembantu Menteri Kepada Ketua Menteri Datuk Nizam Abu Bakar Titingan. Majlis ini mencerminkan usaha bersama ketiga-tiga organisasi untuk memperkukuh agenda tenaga hijau di Sabah, sekaligus menjadi langkah penting dalam merealisasikan aspirasi negeri ini ke arah pembangunan mampan. Pengerusi SF, Datuk Mohd Banuri Aris berkata sebagai peneraju dalam teknologi mampan, SF terus komited untuk memperkenalkan penyelesaian inovatif yang bukan sahaja mesra alam tetapi juga menyokong pertumbuhan ekonomi. “Dengan mengintegrasikan penggunaan Kenderaan Elektrik (EV) dan tenaga boleh baharu, SF percaya teknologi ini adalah kunci utama dalam menangani cabaran perubahan iklim serta mengubah landskap pengangkutan di Sabah.",ms,positive
Sabah tubuh SCAC tangani isu perubahan iklim,"Kerajaan negeri menubuhkan Majlis Tindakan lklim Sabah (SCAC) yang akan bertindak dalam menetapkan hala tuju dan menyelaras projek-projek mitigasi dan adaptasi perubahan iklim di Sabah. Ketua Menteri Datuk Seri Panglima Hajiji Haji Noor berkata, Sabah telah membuat pindaan ke atas Ordinan Tanah Sabah Bab 68, dengan memasukkan peruntukan perundangan berkaitan penyimpanan karbon yang mula berkuatkuasa pada 19 Jun 2023. “Selain itu, Sabah juga baru sahaja menyelesaikan kajian inventori Green house Gas (GHG) Sabah dan penilaian kerentanan untuk pembangunan Dasar Perubahan lklim Sabah ke arah pembangunan rendah karbon Sabah,"" katanya. Beliau berkata demikian pada Sesi Libat Urus Kementerian Ekonomi Malaysia Bersama Kerajaan Negeri Sabah Mengenai Pelaksanaan Inisiatif Pemerangkapan, Penggunaan dan Penyimpanan Karbon (CCUS) di Malaysia, di sini pada Jumaat.",ms,positive
"Kerajaan perkasa dasar, mantapkan pengurusan alam sekitar","Dalam usaha memantapkan pengurusan alam sekitar di negeri ini, kerajaan memperkasakan pelaksanaan Dasar Alam Sekitar Negeri Sabah bagi memastikan perancangan pembangunan dilaksanakan secara mampan. Menteri Pelancongan, Kebudayaan dan Alam Sekitar Datuk Christina Liew berkata, usaha berkenaan memerlukan penglibatan kerjasama daripada pelbagai kementerian, jabatan dan organisasi kerajaan dan bukan kerajaan. Selain itu katanya, penghasilan dan penggunaan Pelan Pengurusan Pesisir Pantai oleh Jabatan Perlindungan Alam Sekitar dan agensi berkaitan untuk memastikan pembangunan di kawasan pesisir pantai turut dilaksanakan secara mampan. Menurutnya, kerajaan turut memperkenalkan 'environmental selfregulation' (ESR) bagi meningkatkan kerjasama dan kolaborasi dengan pihak-pihak berkepentingan, serta pelaksanaan program-program kesedaran alam sekitar kepada pelbagai kumpulan sasar. ""Ia termasuklah Program Sekolah Rakan Alam Sekitar (SERASI) iaitu salah satu 'flagship programme' kesedaran alam sekitar kita di Sabah. ""Saya amat mengalu-alukan usaha dan inisiatif pelbagai pihak untuk bersama-sama mencapai aspirasi pembangunan mampan di Sabah melalui kolaborasi yang mantap dan berterusan,"" katanya.",ms,positive
Sabah terus mengutamakan agroperhutanan,"Sabah bertekad untuk mengguna pakai pendekatan agroperhutanan bagi meningkatkan perkhidmatan ekosistem, memperkukuhkan daya tahan terhadap perubahan iklim, menyokong kehidupan di luar bandar dan memastikan keselamatan makanan. Ketua Menteri Datuk Seri Panglima Hajiji Haji Noor berkata, agroperhutanan telah menampakkan kejayaan luar biasa di Sabah. ""Model itu telah memperbaiki tahap kesuburan tanah, meningkatkan hasil tanaman dan memberikan manfaat ekonomi kepada komuniti tempatan. ""Jabatan Perhutanan Sabah telah melakukan banyak usaha dalam hal ini,"" katanya pada Persidangan Antarabangsa mengenai Biodiversiti, Agroperhutanan, Produk Hutan Bukan Kayu dan Kehidupan Lestari (ICBANS) 2024 di sini, hari ini.",ms,positive
Langkah tuntas pengurusan sumber hutan Sabah,"KEBIMBANGAN mengenai alam sekitar kini semakin mendapat perhatian bukan sahaja di kalangan masyarakat Malaysia tetapi di peringkat global, kerana perkara itu berhubung kait dengan perubahan iklim. Malaysia amnya dan Sabah khasnya berada pada landasan betul kerana mempunyai dasar pengurusan  sumber hutan yang mampan. Lebih mengujakan ialah persidangan antarabangsa, ‘Heart of Borneo (HoB)’, di Kota Kinabalu pada 24 Ogos lalu, telah menyajikan satu misi baharu tentang hala tuju pengurusan hutan jangka panjang  di Sabah. Persidangan yang berprestij dan bertaraf antarabangsa itu sangat signifikan kerana ia menghimpunkan pelbagai individu dan pihak yang berkepentingan dari seluruh dunia untuk bekerjasama dalam usaha pemuliharaan alam sekitar. Lebih spesifik lagi, persidangan itu menyaksikan kehadiran ramai ahli cendekiawan, ahli saintis, pakar-pakar,  pencinta alam dan individu yang tidak asing lagi dengan isu-isu berkaitan  alam sekitar, termasuklah  hal-hal melindungi spesis hidupan liar.",ms,positive
Kelab Skuba Sabah komited melindungi alam sekitar,"Kelab Skuba Sabah meneruskan komitmennya terhadap usaha pemuliharaan. Program sepanjang hari pada hari Ahad lalu menyaksikan ahli kelab bukan sahaja menggunakan masa mereka tetapi juga menanggung kos sendiri untuk pembersihan dasar laut. Seramai 28 orang berjaya mengumpulkan 100 kilogram sampah dari Pulau Mari-Mari Sepanggar. Para penyelam berjaya memungut pelbagai jenis bahan sisa, sekali gus mahu satu usaha  pemuliharaan yang berterusan. Presiden kelab, Sim Fui berkata lautan kini dicemari sampah dan usaha pembersihan perlu dilakukan. “Dengan membersihkannya sekarang, kita dapat melindungi destinasi kawasan menyelam kita untuk generasi akan datang,"" katanya dalam satu kenyataan.",ms,positive
