Title ,Content,Language,Sentiment
Reducing impact of climate change top priority for Sabah,"Sabah will make efforts to reduce the impact of climate change as the state government’s main agenda through various measures and initiatives introduced to realise that goal, said Chief Minister Datuk Hajiji Noor. He said that commitment, among others, could be seen through the Sabah government’s target to plant about 36 million trees within five years until 2025 through the Malaysia Greening Programme initiative nationwide, themed “Greening Malaysia: Our Trees, Our Life”. So far, nearly 4.5 million trees have been planted nationwide through the programme, he said. “Sabah has also formed the Climate Change Action Council under the purview of the Sabah Forestry Department to discuss climate change policies and actions, drive green economic growth, catalyse green technology as well as low-carbon growth. “This is in line with Sabah’s policy on the environment as well as the nation’s aspiration, especially in the climate mitigation and adaptation processes. Climate change is among the main aspects in the policy and we are committed to taking all the necessary steps to ensure the air quality in the state will not become worse as a result of development activities,” he said when officiating the Sabah Climate Change International Conference 2021 on Tuesday.",en,
Yayasan Sabah strengthens conservation efforts,"The Yayasan Sabah Group organised a Seminar of Maliau Basin Conservation Area’s Wildlife and Resources Survey on Thursday at the Shangri-La Tanjung Aru here. Officiated by the Assistant Minister to the Chief Minister of Sabah, Datuk Abidin bin Madingkir, the seminar featured the latest findings on biodiversity in the Maliau Basin Conservation Area (MBCA), in addition to strengthening conservation efforts in Sabah. In his speech, Abidin expressed appreciation to the Yayasan Sabah Group for conducting a 14-day survey in May 2024. This effort aims to obtain the latest data on wildlife, assess the threats faced, and explore the potential for ecotourism development in the Maliau Basin. He also highlighted Sabah as the “Land Below The Wind” and a paradise full of biodiversity, strengthening Malaysia’s position as a country with mega-biodiversity. “Sabah is blessed with natural beauty and rich biodiversity, which gives high value not only in terms of the environment but also the economy and socio-economics of the people,” said Abidin. “Conservation areas such as Danum Valley, Maliau Basin, and Mount Kinabalu are the main ecotourism attractions that also open up job opportunities for Sabahans,” he said further.",en,
70% of endemic trees in Sabah threatened,"A book on Sabah’s endemic tree species was launched at the International Conference on Heart of Borneo at the Sabah International Convention Centre (SICC) here on Wednesday. The Red List of Sabah Endemic Trees compiles the conservation status assessment of 291 Sabah endemic tree species that have been validly published on the IUCN Red List of Threatened Species website from 2018 up to 2022. The compilation was derived from the initiative by the Sabah Forestry Department together with the Botanical Garden Conservation International (BGCI) and IUCN SSC Global Tree Specialist Group (GTSG), both are leading the Global Tree Assessment Initiative (GTA). Ninety-five per cent of the 291 species were largely assessed by researchers from the Sabah Forestry Department, Dr Colin Maycock and student interns from Universiti Malaysia Sabah.",en,
Nearly 100 turn up for Sabah Climate Strike,"Close to 100 people gathered at The Pillars of Sabah around 3 pm yesterday to push the government into addressing the current climate crisis. Organizations and individuals representing various civil society organizations in Sabah had planned to march to the Segama Waterfront Boardwalk at 4 pm, but were stopped by the police. Participants were clad in green and black clothing, while many wore face masks in light of the current haze situation. The masks too were symbolic of human action ‘muting’ the environment. The event was organized as part of the Global Climate Strike, a movement that saw similar protests happening in hundreds of cities across the world.",en,
Sabah first to launch policy on environment,"Chief Minister Datuk Seri Musa Aman launched the Sabah State Policy on the Environment during the 14th State Assembly Sitting here yesterday, making Sabah the first state to have initiated the formulation of the policy. The policy outlines strategies and action plans based on five thematic aspects of the environment, namely land, air, water, biodiversity and social dimension. To ensure effective implementation of the policy, the state government through the Ministry of Tourism, Culture and Environment has just completed 83 strategies and 195 action plans based on the thematic aspects. The action plans for the Sabah State Policy on the Environment will be implemented for 15 years from 2018 to 2033. The policy outlines three objectives, namely to provide a vision for environmental conditions and standards, an environmental framework for regulatory mechanisms, and guidance for all decision makers and implementing agencies in the execution of the mandates and duties.",en,
Penampang school steps up environmental awareness,"SM St Michael, Penampang has stepped up its environmental awareness programme by engaging communities to play their role in preserving Mother Nature with tree-plating activities. “Deforestation is one of the biggest environment challenges that we’re currently facing. “Thus, as an educational institution, it is important to impart knowledge about current environmental issues not just to students, but also to the community. “Therefore, St Michael’s Penampang Secondary School being the trophy holder and award bearer of the ‘Sekolah Lestari, Mentor SERASI and Eco-School’, organized a programme to help communities understand better about current issues that are happening in our environment and also how they can play their role to preserve Mother Nature,” said the principal, Jennifer Asing. She said the school is enhancing its effort to raise environmental awareness among the communities by supporting The Malaysia Greening Programme: Plant 100 million trees campaign, which is a five-year long campaign initiated by the Ministry of Energy and Natural Resources.",en,
Govt keen to work on environmental protection with organisations,"Six conservation and research organisations yesterday handed over a three-point call to action to the Sabah State Government, a move that saw both sides agreeing to work together to further map out the recommendations. Chief Minister Datuk Seri Musa Aman who received the one-page document from leaders of the organisations at Sri Gaya, near here, was positive about points that were raised. “I take note of your recommendations. Actually some of the steps have been taken or are in the process of implementation. “We will study the rest in further detail to see their viability and we are also keen to work with you in seeing the recommendations through,” Musa said.",en,
Action plan to save mangroves,"The State Government will launch the Sabah Mangrove Action Plan as way forward to transform the management and conservation of mangrove forests in Sabah, said Chief Minister Datuk Seri Hajiji Haji Noor. He said the action plan is important and crucial since 60 per cent or 378,195 hectares of the country’s mangrove forests are in Sabah. “Sabah has the largest mangrove forests in Malaysia, so it is important that we have an action plan that will serve as a guide on mangrove management and conservation. “It is also in consonance with the Blue Carbon initiative, a global programme being coordinated to focus on the conservation and preservation of the seaside ecosystem for climate, biodiversity and prosperity of the people,” he said.",en,
Role of engineers in mitigating climate change and global warming in Sabah,"The realities of climate change and global warming are no longer abstract concepts confined to scientific journals or global conferences nowadays. These phenomena have direct and tangible effects on regions worldwide, including Sabah, Malaysia. Known for its rich biodiversity, pristine rainforests, and vibrant coastal ecosystems, Sabah is increasingly under threat from the adverse impacts of climate change. The intensified frequent flooding, coastal erosion, and shifts in weather patterns are just some of the challenges that have emerged over the past decades. In view of these problems, engineers have an irreplaceable role in mitigating these challenges and ensuring that Sabah not only adapts to the changing climate but also contributes to the global effort to curb its progression. Engineering is a discipline rooted in problem-solving, and the solutions it can offer to climate-related issues are manifold. From renewable energy development to climate-resilient infrastructure and urban sustainability, engineers are at the forefront of creating a safer and more sustainable future for Sabah.",en,
Climate actions: KK must take lead,"Kota Kinabalu must take the lead in climate actions for the cities in Sabah and set an example for other cities in Malaysia to emulate, said Assistant Minister to the Chief Minister Datuk Abidin Madingkir. He said the Kota Kinabalu City Hall (DBKK) is looking into several smart city projects, the use of Comprehensive Assessment System for Built Environment Efficiency (Casbee) for green building assessment, and renewable energy projects such as the mini-hydro project at Kiansom Waterfalls with Toyoma City of Japan. He said DBKK also wants to do a comprehensive study to track the city’s carbon footprint. Abidin said DBKK and the International Council for Local Environmental Initiative (ICLEI) had co-prepared the Kota Kinabalu Green City Action Plan in 2019, which is recognized as a Climate Action Plan by virtue of membership of the Global Covenant of Mayors for Climate and Energy (GCoM).",en,
