No.,Title ,Content,Language
11,Reducing impact of climate change top priority for Sabah,"Sabah will make efforts to reduce the impact of climate change as the state government’s main agenda through various measures and initiatives introduced to realise that goal, said Chief Minister Datuk Hajiji Noor. He said that commitment, among others, could be seen through the Sabah government’s target to plant about 36 million trees within five years until 2025 through the Malaysia Greening Programme initiative nationwide, themed “Greening Malaysia: Our Trees, Our Life”. So far, nearly 4.5 million trees have been planted nationwide through the programme, he said. “Sabah has also formed the Climate Change Action Council under the purview of the Sabah Forestry Department to discuss climate change policies and actions, drive green economic growth, catalyse green technology as well as low-carbon growth. “This is in line with Sabah’s policy on the environment as well as the nation’s aspiration, especially in the climate mitigation and adaptation processes. Climate change is among the main aspects in the policy and we are committed to taking all the necessary steps to ensure the air quality in the state will not become worse as a result of development activities,” he said when officiating the Sabah Climate Change International Conference 2021 on Tuesday.",en
12,Yayasan Sabah strengthens conservation efforts,"The Yayasan Sabah Group organised a Seminar of Maliau Basin Conservation Area’s Wildlife and Resources Survey on Thursday at the Shangri-La Tanjung Aru here. Officiated by the Assistant Minister to the Chief Minister of Sabah, Datuk Abidin bin Madingkir, the seminar featured the latest findings on biodiversity in the Maliau Basin Conservation Area (MBCA), in addition to strengthening conservation efforts in Sabah. In his speech, Abidin expressed appreciation to the Yayasan Sabah Group for conducting a 14-day survey in May 2024. This effort aims to obtain the latest data on wildlife, assess the threats faced, and explore the potential for ecotourism development in the Maliau Basin. He also highlighted Sabah as the “Land Below The Wind” and a paradise full of biodiversity, strengthening Malaysia’s position as a country with mega-biodiversity. “Sabah is blessed with natural beauty and rich biodiversity, which gives high value not only in terms of the environment but also the economy and socio-economics of the people,” said Abidin. “Conservation areas such as Danum Valley, Maliau Basin, and Mount Kinabalu are the main ecotourism attractions that also open up job opportunities for Sabahans,” he said further.",en
13,70% of endemic trees in Sabah threatened,"A book on Sabah’s endemic tree species was launched at the International Conference on Heart of Borneo at the Sabah International Convention Centre (SICC) here on Wednesday. The Red List of Sabah Endemic Trees compiles the conservation status assessment of 291 Sabah endemic tree species that have been validly published on the IUCN Red List of Threatened Species website from 2018 up to 2022. The compilation was derived from the initiative by the Sabah Forestry Department together with the Botanical Garden Conservation International (BGCI) and IUCN SSC Global Tree Specialist Group (GTSG), both are leading the Global Tree Assessment Initiative (GTA). Ninety-five per cent of the 291 species were largely assessed by researchers from the Sabah Forestry Department, Dr Colin Maycock and student interns from Universiti Malaysia Sabah.",en
14,Nearly 100 turn up for Sabah Climate Strike,"Close to 100 people gathered at The Pillars of Sabah around 3 pm yesterday to push the government into addressing the current climate crisis. Organizations and individuals representing various civil society organizations in Sabah had planned to march to the Segama Waterfront Boardwalk at 4 pm, but were stopped by the police. Participants were clad in green and black clothing, while many wore face masks in light of the current haze situation. The masks too were symbolic of human action ‘muting’ the environment. The event was organized as part of the Global Climate Strike, a movement that saw similar protests happening in hundreds of cities across the world.",en
15,Sabah first to launch policy on environment,"Chief Minister Datuk Seri Musa Aman launched the Sabah State Policy on the Environment during the 14th State Assembly Sitting here yesterday, making Sabah the first state to have initiated the formulation of the policy. The policy outlines strategies and action plans based on five thematic aspects of the environment, namely land, air, water, biodiversity and social dimension. To ensure effective implementation of the policy, the state government through the Ministry of Tourism, Culture and Environment has just completed 83 strategies and 195 action plans based on the thematic aspects. The action plans for the Sabah State Policy on the Environment will be implemented for 15 years from 2018 to 2033. The policy outlines three objectives, namely to provide a vision for environmental conditions and standards, an environmental framework for regulatory mechanisms, and guidance for all decision makers and implementing agencies in the execution of the mandates and duties.",en
16,Penampang school steps up environmental awareness,"SM St Michael, Penampang has stepped up its environmental awareness programme by engaging communities to play their role in preserving Mother Nature with tree-plating activities. “Deforestation is one of the biggest environment challenges that we’re currently facing. “Thus, as an educational institution, it is important to impart knowledge about current environmental issues not just to students, but also to the community. “Therefore, St Michael’s Penampang Secondary School being the trophy holder and award bearer of the ‘Sekolah Lestari, Mentor SERASI and Eco-School’, organized a programme to help communities understand better about current issues that are happening in our environment and also how they can play their role to preserve Mother Nature,” said the principal, Jennifer Asing. She said the school is enhancing its effort to raise environmental awareness among the communities by supporting The Malaysia Greening Programme: Plant 100 million trees campaign, which is a five-year long campaign initiated by the Ministry of Energy and Natural Resources.",en
17,Govt keen to work on environmental protection with organisations,"Six conservation and research organisations yesterday handed over a three-point call to action to the Sabah State Government, a move that saw both sides agreeing to work together to further map out the recommendations. Chief Minister Datuk Seri Musa Aman who received the one-page document from leaders of the organisations at Sri Gaya, near here, was positive about points that were raised. “I take note of your recommendations. Actually some of the steps have been taken or are in the process of implementation. “We will study the rest in further detail to see their viability and we are also keen to work with you in seeing the recommendations through,” Musa said.",en
18,Action plan to save mangroves,"The State Government will launch the Sabah Mangrove Action Plan as way forward to transform the management and conservation of mangrove forests in Sabah, said Chief Minister Datuk Seri Hajiji Haji Noor. He said the action plan is important and crucial since 60 per cent or 378,195 hectares of the country’s mangrove forests are in Sabah. “Sabah has the largest mangrove forests in Malaysia, so it is important that we have an action plan that will serve as a guide on mangrove management and conservation. “It is also in consonance with the Blue Carbon initiative, a global programme being coordinated to focus on the conservation and preservation of the seaside ecosystem for climate, biodiversity and prosperity of the people,” he said.",en
19,Role of engineers in mitigating climate change and global warming in Sabah,"The realities of climate change and global warming are no longer abstract concepts confined to scientific journals or global conferences nowadays. These phenomena have direct and tangible effects on regions worldwide, including Sabah, Malaysia. Known for its rich biodiversity, pristine rainforests, and vibrant coastal ecosystems, Sabah is increasingly under threat from the adverse impacts of climate change. The intensified frequent flooding, coastal erosion, and shifts in weather patterns are just some of the challenges that have emerged over the past decades. In view of these problems, engineers have an irreplaceable role in mitigating these challenges and ensuring that Sabah not only adapts to the changing climate but also contributes to the global effort to curb its progression. Engineering is a discipline rooted in problem-solving, and the solutions it can offer to climate-related issues are manifold. From renewable energy development to climate-resilient infrastructure and urban sustainability, engineers are at the forefront of creating a safer and more sustainable future for Sabah.",en
20,Climate actions: KK must take lead,"Kota Kinabalu must take the lead in climate actions for the cities in Sabah and set an example for other cities in Malaysia to emulate, said Assistant Minister to the Chief Minister Datuk Abidin Madingkir. He said the Kota Kinabalu City Hall (DBKK) is looking into several smart city projects, the use of Comprehensive Assessment System for Built Environment Efficiency (Casbee) for green building assessment, and renewable energy projects such as the mini-hydro project at Kiansom Waterfalls with Toyoma City of Japan. He said DBKK also wants to do a comprehensive study to track the city’s carbon footprint. Abidin said DBKK and the International Council for Local Environmental Initiative (ICLEI) had co-prepared the Kota Kinabalu Green City Action Plan in 2019, which is recognized as a Climate Action Plan by virtue of membership of the Global Covenant of Mayors for Climate and Energy (GCoM).",en
21,Council reminded of role on environment issues,"The Sabah Environment Protection Council (MPASS) was reminded about its important role in advising the Sabah Government on matters pertaining to the implementation of the Environment Protection Enactment 2002 as well as on matters related to environmental management in the State.
MPASS Chairman Datuk Seri Christina Liew gave the reminder in her opening speech when the Council convened its first meeting for the current year on Tuesday at the Tourism, Culture and Environment Ministry’s Conference Room.
Liew, who is also State Tourism, Culture and Environment Minister, presided at the meeting, attended by members of the Council, comprising senior officers from both State and Federal Government agencies.
“The Council must take a serious view of environmental issues in line with our commitment to ensuring sustainable environmental governance in line with the Sabah State Environmental Policy 2017. This Policy outlines 83 strategies based on five key areas, namely land, air, water, biodiversity and social dimension,” she said.",en
22,Pang commends students' concern on environ issues,"Environmental protection has taken a firm grip in the State, with more young Sabahans doing their bit and being vocal on the issue.Tourism, Culture and Environment Assistant Minister Datuk Pang Yuk Ming affirmed this notion on Saturday when participating students from Maktab Nasional raised their concerns over the Tanjung Aru Eco Development project in the ""YB Minister! We have something to tell you"" competition.
They raised their concern over the said project, which came under public scrutiny over the reclamation of land which may deter visitors from enjoying the beach in the future.
The competition was among the four competitions held by Institut Sinaran's Inter-School Environment Day 2014, themed ""Raise Your Voice, Not The Sea Level"", here, Saturday.
""I will not talk further on the matter (Tg Aru Eco Development) but development is a necessity of life, we have to change, you need development in your life. But the question is what kind of development? We want sustainable development that is environment friendly.
That is the key issue,"" said Pang in responding to the issue in his speech.
""As a responsible citizen, we must make sure whatever development we bring to our State is sustainable, environment friendly and most of all bring benefit to our people,"" he said.
Pang also commended the students' concern over the environment issues around them as raised by them in the competition.
""Please voice it up, not in a negative way, that you do not reject development but you want your leader to be responsible to bring development that is sustainable, environment friendly and that would bring social benefit to the people. Otherwise, you will be living in the dark ages,"" said Pang.
The future is in good hands as the younger generations are now sensitive towards their surrounding, he said.
""I am glad that you all know what is happening in Sabah and I am very optimistic now about the future and have faith that Sabah will be in good hands of the future generation who know to care about environment.""
Earlier, several participating teams in the competition raised their concern on environment issues around them.
Maktab Nasional emerged as the winner of the competition while the first and second places went to SM All Saints and SMK Datuk Peter Mojuntin, respectively.
Meanwhile, Sinaran CEO William Pan said the institute organised the event yearly since 2005 to cultivate awareness and conviction in the minds and hearts of participating students and the visiting public about the importance to care for the Mother Earth.
Over 600 students from 14 secondary schools from Kota Kinabalu, Penampang and Tuaran participated in the events, namely Environment Quiz, Eco-Exhibition Challenge, Recycled Sculpture Contest and ""YB Minister! We have something to tell you"".
Also present was Chairman of the Board of Governors of Institut Sinaran Datuk Yong Kyok Ming.",en
23,APS: Why the Tenom logging approval?,"Angkatan Perpaduan Sabah (APS) queries the logging approval given by the Natural Resources Department, Land and Survey Department and the State Chief Conservator of Forests to a company involving 388.3 hectares in Kg Katubu Sasagop and Kg Kapulu. 
Its Vice President Paul Kadau said the people in the area wondered why the approval was given when the Chief Minister Datuk Seri Mohd Shafie Apdal last year said that anything that harms the environment will not be allowed even though it brings revenue to the State.  
He cited a statement by Shafie in May 28 last year that although logging concessionaires may be contributors to the State revenue, it cannot be allowed if it causes environment issues in Sabah. 
Kadau said APS believes that continued logging activities in the area will threaten the natural environment ecosystem which may cause erosion in the long run if left unaddressed. Among issues that the villagers disagreed with include Kg Imahit customary land boundary, water catchment area, effect on the tagal system in the river, and possible destruction of the community forest. 
They also claimed that it may also affect the old cemetery, daily lives of the indigenous community, geographical landscape of the land such as hills and existing rivers, destroy their crops and tagal system under the small grants programme. 
“The area is part of the Rundum Highland tourist area which is gaining popularity among tourists,” he said, recently. 
It is understood that the Kemabong State Constituency also sent a letter of protest to the Tenom District Officer who is also the Land Revenue Assistant Collector. 
This prompted an integrated inspection at the site on Wednesday, led by the Tenom District Officer and various government departments and agencies. 
Among those involved are those from the police, Keningau Road Transport Department, Sabah Environmental Protection Department, Sabah Environmental Department, Commercial Licensing Vehicle Board, Immigration Department, Kemabong Assistant District Officer and Rela, among others. 
The Tenom District Officer took action in stopping logging activities in the area based on issues concerning environmental protection and safety of the local community. 
APS described the action taken by the District Officer as accurate as it is in the interest of the people. ",en
24,Green practices must for all councils: Limus,"All local authorities (PBTs) in Sabah are encouraged to practice environmental sustainability through adoption of green practices in every development projects in their respective districts.
Assistant Minister of Works, Datuk Limus Jury, said this effort including reduce negative impacts to the earth through green practices, aims to preserve natural resources while emphasising the concept of a sustainable circular economy.
He said this is also in line with PBTs as the backbone and key indicators in implementing programmes or projects that focus on achieving sustainable landscape development.
“KKTP is actively working to strengthen and sustain every planning initiative, including landscape planning, in the pursuit of sustainable development,” Limus said. “Therefore, PBTs must also support the efforts of KKTP which serves as the driver and catalyst in formulating the State’s guidelines and direction, as well as in coordinating more organised and high-quality landscape development.” He said this when officiating an I-Hijau Roadshow Program (KKTP Green Initiative, Sabah Maju Jaya Aspiration) 2025, organised by KKTP and Kuala Penyu District Council held at Dato’ Syahbandar Makang hall, here, recently.
The programme serves as a platform that involves the entire community of Kuala Penyu in taking collective action to preserve the sustainability of their surrounding landscape. 
In this regard, the I-Hijau KKTP programme, serves as a platform and catalyst for green initiatives throughout the State and represent the Ministry’s ongoing efforts to promote green practices.
It began with the “I-Hijau KKTP” Festival in 2023 and KKTP approved the I-Hijau KKTP Roadshow, to be brought to Kuala Penyu for the first time and after this, the roadshow will continue to be held in Tenom. 
Limus, who is also Kuala Penyu Assemblyman, said there are five key principles in implementing a sustainable circular economy that they can work towards:
Efficient Use of Resources – to prevent waste and maximize the reuse and recycling of materials.
Carbon Footprint Reduction – to lower carbon emissions that contribute to global warming.
Development of a Social and Inclusive Economy – by prioritising human well-being.
Environmental Sustainability – aligned with the goals of a circular economy and aimed at preserving the natural environment.
Advancement of Green Technology and Innovation – to support sustainability through the adoption of environmentally friendly and innovative technologies.
In addressing climate change, Limus said the community must work together to implement environmental sustainability efforts in an integrated and balanced manner.
“This responsibility must be shouldered by all quarters to ensure the sustainability of both current and future generations.
“We believe that the key to resolving the climate crisis lies in reducing carbon dioxide emissions and transforming society to safeguard the environment,” he said.
Following this, Limus called on all residents here to embrace positive values to ensure the sustainability and preservation of the district. 
He said the habit of throwing garbage and waste from vehicles onto the road must be curbed and completely eliminated.
“Cleanliness and preserving the beauty of the local environment aligns with the district’s vision and its transformation into a new tourism hub in the country. 
“We must work hand-in-hand – especially community leaders and the people – to support the implementation of the Kuala Penyu Sustainable Village Programme, which was launched by the KKTP Minister Datuk Seri Dr Joachim Gunsalam on Nov 23 last year, at the Monsoi Point. 
“This programme, introduced by the Kuala Penyu District Council, is an excellent initiative to help guide the community in managing natural resources holistically and to foster village development in the social and economic spheres – ultimately creating a sustainable, peaceful, and prosperous community,” he said.
Therefore, Limus described the implementation of the I-Hijau 2025 Roadshow Program as highly appropriate, serving as a catalyst for the community – particularly in Kuala Penyu – to progress toward becoming a liveable and sustainable society, in line with KKTP’s vision: “Driving Sustainable Development and Achieving Community Well-being.”
Also present were Kuala Penyu District Officer Nelson Domil Oluk, KKTP Principal Assistant Secretary (Landscape) Nurulhayati Awang More, Kuala Penyu District Council Executive Officer John Genchit, who also chairs the District-Level Implementation Committee, along with executive officers from local authorities across the State, department heads, representatives from various government agencies, and community leaders.",en
25,Renewable Energy Certs an option: Expert,"Sabah’s clean energy transition is not only benefiting the environment but could also create new economic opportunities through carbon credits and renewable energy certificates, according to electrical engineer, Nirinder Singh Johl. 
“With the second-lowest carbon emissions from electricity in Malaysia, Sabah is well-positioned to capitalise on its cleaner energy mix, particularly as global businesses increasingly look to reduce their carbon footprint,” he said at the at the inaugural Sabah Renewable Energy Conference 2025’s Panel Session 2 titled Overcoming Hurdles and Transforming Tomorrow: Sabah’s Renewable Energy Transition Strategies.
“There has been a new standard on carbon credits for grid-connected energy storage. Probably Sabah could explore that,” he said, adding that it gives a bit of financial sense to having storage.
The Asia CarbonX Change PLT Chief Executive Officer pointed out Sabah’s environmental advantage, noting the significant difference in carbon emissions compared to Peninsular Malaysia. “Peninsula is 0.75 tons of CO2 per megawatt. We do not have coal here. We took a chance, a stand some time ago as a result of which the grid emission factor of Sabah is 0.55 and Sarawak obviously lowest, 0.19,” he said.
Renewable Energy Certificates (RECs) represent another opportunity for funding clean energy projects in the State. 
Nirinder described these as the block chain for the green market.
“Every time you generate one megawatt hour, you stop conventional energy production with the same amount. The one from renewable does not have carbon in it. 
“REC is basically the currency for the renewable energy market,” he said. 
For Sabah to fully participate in this market, he suggested developing a local certification system.
“If Sabah wants to go, probably Sabah needs to have an issuer, a Sabah issuer or probably in Malaysia, we call it M-VAX. We call it S-VAX for Sabah issuer. This is how you brand yourself,” he said.
He said the financial incentives are substantial, with RECs commanding different prices depending on market maturity and regulatory requirements.
“Solar RECs in Peninsular Malaysia cost USD5, while in Singapore they command USD65 due to their carbon market and compliance requirements.
“When taxation comes in here, the prices of RECs will go up, making it perfect sense to include in your financial model,” he said. 
Among his recommendations for Sabah’s renewable energy development was aligning power purchase agreements with the actual lifespan of energy plants.
“If the economic life of a solar plant is 25 years, give them 25 years. A hydro is 32 years, then give them 33 years,” he said.
Meanwhile, Talent Corporation Malaysia Berhad Sector Head of Industry Partnership Nazliyah Mohd Ali said the expansion of renewable energy is also creating demand for workers with specialised skills.
“Last year, we conducted 10 sectors of impact study for Artificial Intelligence, digital and green economy to understand what the impact to the Malaysian workforce is,” she said. 
“Based on the findings, we understand that there is a need for energy-related skills like energy economists, energy traders, all those things are moving forward for the next three to five years. 
“Based on the National Energy Transition Roadmap, we know that there are a need for 62,000 professionals in green technology, green field,” she said.
To bridge the skills gap, TalentCorp has come up with the MyMahir Future Skills Talent Council and developed tailored programs.
“We developed curated programs, which are very much according to what industry wants. We want to see what the skills gap from the fresh graduate are and see what we can do to fit in the gap in terms of the skills,” she said. 
For those interested in exploring these career paths, she pointed to available resources online.
“This study, the impact study is actually available online. You can go to mymahir.my and you can actually download this copy.
“We have another separate platform for secondary and primary schools. If you have children, you can go to our platform and they can see interactive videos to understand what is actually done in layman terms for them to learn,” she said. 
* Follow us on our official WhatsApp channel and Telegram for breaking news alerts and key updates!",en
26,Kudat coral planting enters record book,"Sabah Parks along with WWF-Malaysia, Universiti Malaysia Sabah, local communities, enforcement agencies, volunteers, and the private sector, reached a milestone in conservation efforts through the recognition by the Malaysia Book of Records (MBR) for planting 12,000 coral fragments on the seafloor within Tun Mustapha Park (TTM) at Simpang Mengayau (Tip of Borneo) close to Pulau Kalampunian.
State Minister of Tourism, Culture and Environment Datuk Seri Christina Liew officiated the Recognition Ceremony in conjunction with the 9th Anniversary of the Gazettement of Tun Mustapha Park at Dewan Tun Mustapha Kudat on Monday. 
“Congratulations to the Director of Sabah Parks (Dr Maklarin Lakim) and his team, all collaborative partners and implementing agencies that turned this vision into reality. 
“To the local communities – you are the true guardians of the sea. This collaboration strengthens an inclusive and effective conservation network. ",en
