No.,Title,Content,Language,Title_clean,Title_language,Content_clean,Content_language,clean_content,language,predicted_sentiment
11,Reducing impact of climate change top priority for Sabah,"Sabah will make efforts to reduce the impact of climate change as the state government’s main agenda through various measures and initiatives introduced to realise that goal, said Chief Minister Datuk Hajiji Noor. He said that commitment, among others, could be seen through the Sabah government’s target to plant about 36 million trees within five years until 2025 through the Malaysia Greening Programme initiative nationwide, themed “Greening Malaysia: Our Trees, Our Life”. So far, nearly 4.5 million trees have been planted nationwide through the programme, he said. “Sabah has also formed the Climate Change Action Council under the purview of the Sabah Forestry Department to discuss climate change policies and actions, drive green economic growth, catalyse green technology as well as low-carbon growth. “This is in line with Sabah’s policy on the environment as well as the nation’s aspiration, especially in the climate mitigation and adaptation processes. Climate change is among the main aspects in the policy and we are committed to taking all the necessary steps to ensure the air quality in the state will not become worse as a result of development activities,” he said when officiating the Sabah Climate Change International Conference 2021 on Tuesday.",en,reducing impact of climate change top priority for sabah,en,sabah will make efforts to reduce the impact of climate change as the state governments main agenda through various measures and initiatives introduced to realise that goal said chief minister datuk hajiji noor he said that commitment among others could be seen through the sabah governments target to plant about 36 million trees within five years until 2025 through the malaysia greening programme initiative nationwide themed greening malaysia our trees our life so far nearly 45 million trees have been planted nationwide through the programme he said sabah has also formed the climate change action council under the purview of the sabah forestry department to discuss climate change policies and actions drive green economic growth catalyse green technology as well as lowcarbon growth this is in line with sabahs policy on the environment as well as the nations aspiration especially in the climate mitigation and adaptation processes climate change is among the main aspects in the policy and we are committed to taking all the necessary steps to ensure the air quality in the state will not become worse as a result of development activities he said when officiating the sabah climate change international conference 2021 on tuesday,en,sabah will make efforts to reduce the impact of climate change as the state governments main agenda through various measures and initiatives introduced to realise that goal said chief minister datuk hajiji noor he said that commitment among others could be seen through the sabah governments target to plant about 36 million trees within five years until 2025 through the malaysia greening programme initiative nationwide themed greening malaysia our trees our life so far nearly 45 million trees have been planted nationwide through the programme he said sabah has also formed the climate change action council under the purview of the sabah forestry department to discuss climate change policies and actions drive green economic growth catalyse green technology as well as lowcarbon growth this is in line with sabahs policy on the environment as well as the nations aspiration especially in the climate mitigation and adaptation processes climate change is among the main aspects in the policy and we are committed to taking all the necessary steps to ensure the air quality in the state will not become worse as a result of development activities he said when officiating the sabah climate change international conference 2021 on tuesday,en,Positive
12,Yayasan Sabah strengthens conservation efforts,"The Yayasan Sabah Group organised a Seminar of Maliau Basin Conservation Area’s Wildlife and Resources Survey on Thursday at the Shangri-La Tanjung Aru here. Officiated by the Assistant Minister to the Chief Minister of Sabah, Datuk Abidin bin Madingkir, the seminar featured the latest findings on biodiversity in the Maliau Basin Conservation Area (MBCA), in addition to strengthening conservation efforts in Sabah. In his speech, Abidin expressed appreciation to the Yayasan Sabah Group for conducting a 14-day survey in May 2024. This effort aims to obtain the latest data on wildlife, assess the threats faced, and explore the potential for ecotourism development in the Maliau Basin. He also highlighted Sabah as the “Land Below The Wind” and a paradise full of biodiversity, strengthening Malaysia’s position as a country with mega-biodiversity. “Sabah is blessed with natural beauty and rich biodiversity, which gives high value not only in terms of the environment but also the economy and socio-economics of the people,” said Abidin. “Conservation areas such as Danum Valley, Maliau Basin, and Mount Kinabalu are the main ecotourism attractions that also open up job opportunities for Sabahans,” he said further.",en,yayasan sabah strengthens conservation efforts,en,the yayasan sabah group organised a seminar of maliau basin conservation areas wildlife and resources survey on thursday at the shangrila tanjung aru here officiated by the assistant minister to the chief minister of sabah datuk abidin bin madingkir the seminar featured the latest findings on biodiversity in the maliau basin conservation area mbca in addition to strengthening conservation efforts in sabah in his speech abidin expressed appreciation to the yayasan sabah group for conducting a 14day survey in may 2024 this effort aims to obtain the latest data on wildlife assess the threats faced and explore the potential for ecotourism development in the maliau basin he also highlighted sabah as the land below the wind and a paradise full of biodiversity strengthening malaysias position as a country with megabiodiversity sabah is blessed with natural beauty and rich biodiversity which gives high value not only in terms of the environment but also the economy and socioeconomics of the people said abidin conservation areas such as danum valley maliau basin and mount kinabalu are the main ecotourism attractions that also open up job opportunities for sabahans he said further,en,the yayasan sabah group organised a seminar of maliau basin conservation areas wildlife and resources survey on thursday at the shangrila tanjung aru here officiated by the assistant minister to the chief minister of sabah datuk abidin bin madingkir the seminar featured the latest findings on biodiversity in the maliau basin conservation area mbca in addition to strengthening conservation efforts in sabah in his speech abidin expressed appreciation to the yayasan sabah group for conducting a 14day survey in may 2024 this effort aims to obtain the latest data on wildlife assess the threats faced and explore the potential for ecotourism development in the maliau basin he also highlighted sabah as the land below the wind and a paradise full of biodiversity strengthening malaysias position as a country with megabiodiversity sabah is blessed with natural beauty and rich biodiversity which gives high value not only in terms of the environment but also the economy and socioeconomics of the people said abidin conservation areas such as danum valley maliau basin and mount kinabalu are the main ecotourism attractions that also open up job opportunities for sabahans he said further,en,Positive
13,70% of endemic trees in Sabah threatened,"A book on Sabah’s endemic tree species was launched at the International Conference on Heart of Borneo at the Sabah International Convention Centre (SICC) here on Wednesday. The Red List of Sabah Endemic Trees compiles the conservation status assessment of 291 Sabah endemic tree species that have been validly published on the IUCN Red List of Threatened Species website from 2018 up to 2022. The compilation was derived from the initiative by the Sabah Forestry Department together with the Botanical Garden Conservation International (BGCI) and IUCN SSC Global Tree Specialist Group (GTSG), both are leading the Global Tree Assessment Initiative (GTA). Ninety-five per cent of the 291 species were largely assessed by researchers from the Sabah Forestry Department, Dr Colin Maycock and student interns from Universiti Malaysia Sabah.",en,70 of endemic trees in sabah threatened,en,a book on sabahs endemic tree species was launched at the international conference on heart of borneo at the sabah international convention centre sicc here on wednesday the red list of sabah endemic trees compiles the conservation status assessment of 291 sabah endemic tree species that have been validly published on the iucn red list of threatened species website from 2018 up to 2022 the compilation was derived from the initiative by the sabah forestry department together with the botanical garden conservation international bgci and iucn ssc global tree specialist group gtsg both are leading the global tree assessment initiative gta ninetyfive per cent of the 291 species were largely assessed by researchers from the sabah forestry department dr colin maycock and student interns from universiti malaysia sabah,en,a book on sabahs endemic tree species was launched at the international conference on heart of borneo at the sabah international convention centre sicc here on wednesday the red list of sabah endemic trees compiles the conservation status assessment of 291 sabah endemic tree species that have been validly published on the iucn red list of threatened species website from 2018 up to 2022 the compilation was derived from the initiative by the sabah forestry department together with the botanical garden conservation international bgci and iucn ssc global tree specialist group gtsg both are leading the global tree assessment initiative gta ninetyfive per cent of the 291 species were largely assessed by researchers from the sabah forestry department dr colin maycock and student interns from universiti malaysia sabah,en,Negative
14,Nearly 100 turn up for Sabah Climate Strike,"Close to 100 people gathered at The Pillars of Sabah around 3 pm yesterday to push the government into addressing the current climate crisis. Organizations and individuals representing various civil society organizations in Sabah had planned to march to the Segama Waterfront Boardwalk at 4 pm, but were stopped by the police. Participants were clad in green and black clothing, while many wore face masks in light of the current haze situation. The masks too were symbolic of human action ‘muting’ the environment. The event was organized as part of the Global Climate Strike, a movement that saw similar protests happening in hundreds of cities across the world.",en,nearly 100 turn up for sabah climate strike,en,close to 100 people gathered at the pillars of sabah around 3 pm yesterday to push the government into addressing the current climate crisis organizations and individuals representing various civil society organizations in sabah had planned to march to the segama waterfront boardwalk at 4 pm but were stopped by the police participants were clad in green and black clothing while many wore face masks in light of the current haze situation the masks too were symbolic of human action muting the environment the event was organized as part of the global climate strike a movement that saw similar protests happening in hundreds of cities across the world,en,close to 100 people gathered at the pillars of sabah around 3 pm yesterday to push the government into addressing the current climate crisis organizations and individuals representing various civil society organizations in sabah had planned to march to the segama waterfront boardwalk at 4 pm but were stopped by the police participants were clad in green and black clothing while many wore face masks in light of the current haze situation the masks too were symbolic of human action muting the environment the event was organized as part of the global climate strike a movement that saw similar protests happening in hundreds of cities across the world,en,Negative
15,Sabah first to launch policy on environment,"Chief Minister Datuk Seri Musa Aman launched the Sabah State Policy on the Environment during the 14th State Assembly Sitting here yesterday, making Sabah the first state to have initiated the formulation of the policy. The policy outlines strategies and action plans based on five thematic aspects of the environment, namely land, air, water, biodiversity and social dimension. To ensure effective implementation of the policy, the state government through the Ministry of Tourism, Culture and Environment has just completed 83 strategies and 195 action plans based on the thematic aspects. The action plans for the Sabah State Policy on the Environment will be implemented for 15 years from 2018 to 2033. The policy outlines three objectives, namely to provide a vision for environmental conditions and standards, an environmental framework for regulatory mechanisms, and guidance for all decision makers and implementing agencies in the execution of the mandates and duties.",en,sabah first to launch policy on environment,en,chief minister datuk seri musa aman launched the sabah state policy on the environment during the 14th state assembly sitting here yesterday making sabah the first state to have initiated the formulation of the policy the policy outlines strategies and action plans based on five thematic aspects of the environment namely land air water biodiversity and social dimension to ensure effective implementation of the policy the state government through the ministry of tourism culture and environment has just completed 83 strategies and 195 action plans based on the thematic aspects the action plans for the sabah state policy on the environment will be implemented for 15 years from 2018 to 2033 the policy outlines three objectives namely to provide a vision for environmental conditions and standards an environmental framework for regulatory mechanisms and guidance for all decision makers and implementing agencies in the execution of the mandates and duties,en,chief minister datuk seri musa aman launched the sabah state policy on the environment during the 14th state assembly sitting here yesterday making sabah the first state to have initiated the formulation of the policy the policy outlines strategies and action plans based on five thematic aspects of the environment namely land air water biodiversity and social dimension to ensure effective implementation of the policy the state government through the ministry of tourism culture and environment has just completed 83 strategies and 195 action plans based on the thematic aspects the action plans for the sabah state policy on the environment will be implemented for 15 years from 2018 to 2033 the policy outlines three objectives namely to provide a vision for environmental conditions and standards an environmental framework for regulatory mechanisms and guidance for all decision makers and implementing agencies in the execution of the mandates and duties,en,Positive
16,Penampang school steps up environmental awareness,"SM St Michael, Penampang has stepped up its environmental awareness programme by engaging communities to play their role in preserving Mother Nature with tree-plating activities. “Deforestation is one of the biggest environment challenges that we’re currently facing. “Thus, as an educational institution, it is important to impart knowledge about current environmental issues not just to students, but also to the community. “Therefore, St Michael’s Penampang Secondary School being the trophy holder and award bearer of the ‘Sekolah Lestari, Mentor SERASI and Eco-School’, organized a programme to help communities understand better about current issues that are happening in our environment and also how they can play their role to preserve Mother Nature,” said the principal, Jennifer Asing. She said the school is enhancing its effort to raise environmental awareness among the communities by supporting The Malaysia Greening Programme: Plant 100 million trees campaign, which is a five-year long campaign initiated by the Ministry of Energy and Natural Resources.",en,penampang school steps up environmental awareness,en,sm st michael penampang has stepped up its environmental awareness programme by engaging communities to play their role in preserving mother nature with treeplating activities deforestation is one of the biggest environment challenges that were currently facing thus as an educational institution it is important to impart knowledge about current environmental issues not just to students but also to the community therefore st michaels penampang secondary school being the trophy holder and award bearer of the sekolah lestari mentor serasi and ecoschool organized a programme to help communities understand better about current issues that are happening in our environment and also how they can play their role to preserve mother nature said the principal jennifer asing she said the school is enhancing its effort to raise environmental awareness among the communities by supporting the malaysia greening programme plant 100 million trees campaign which is a fiveyear long campaign initiated by the ministry of energy and natural resources,en,sm st michael penampang has stepped up its environmental awareness programme by engaging communities to play their role in preserving mother nature with treeplating activities deforestation is one of the biggest environment challenges that were currently facing thus as an educational institution it is important to impart knowledge about current environmental issues not just to students but also to the community therefore st michaels penampang secondary school being the trophy holder and award bearer of the sekolah lestari mentor serasi and ecoschool organized a programme to help communities understand better about current issues that are happening in our environment and also how they can play their role to preserve mother nature said the principal jennifer asing she said the school is enhancing its effort to raise environmental awareness among the communities by supporting the malaysia greening programme plant 100 million trees campaign which is a fiveyear long campaign initiated by the ministry of energy and natural resources,en,Positive
17,Govt keen to work on environmental protection with organisations,"Six conservation and research organisations yesterday handed over a three-point call to action to the Sabah State Government, a move that saw both sides agreeing to work together to further map out the recommendations. Chief Minister Datuk Seri Musa Aman who received the one-page document from leaders of the organisations at Sri Gaya, near here, was positive about points that were raised. “I take note of your recommendations. Actually some of the steps have been taken or are in the process of implementation. “We will study the rest in further detail to see their viability and we are also keen to work with you in seeing the recommendations through,” Musa said.",en,govt keen to work on environmental protection with organisations,en,six conservation and research organisations yesterday handed over a threepoint call to action to the sabah state government a move that saw both sides agreeing to work together to further map out the recommendations chief minister datuk seri musa aman who received the onepage document from leaders of the organisations at sri gaya near here was positive about points that were raised i take note of your recommendations actually some of the steps have been taken or are in the process of implementation we will study the rest in further detail to see their viability and we are also keen to work with you in seeing the recommendations through musa said,en,six conservation and research organisations yesterday handed over a threepoint call to action to the sabah state government a move that saw both sides agreeing to work together to further map out the recommendations chief minister datuk seri musa aman who received the onepage document from leaders of the organisations at sri gaya near here was positive about points that were raised i take note of your recommendations actually some of the steps have been taken or are in the process of implementation we will study the rest in further detail to see their viability and we are also keen to work with you in seeing the recommendations through musa said,en,Positive
18,Action plan to save mangroves,"The State Government will launch the Sabah Mangrove Action Plan as way forward to transform the management and conservation of mangrove forests in Sabah, said Chief Minister Datuk Seri Hajiji Haji Noor. He said the action plan is important and crucial since 60 per cent or 378,195 hectares of the country’s mangrove forests are in Sabah. “Sabah has the largest mangrove forests in Malaysia, so it is important that we have an action plan that will serve as a guide on mangrove management and conservation. “It is also in consonance with the Blue Carbon initiative, a global programme being coordinated to focus on the conservation and preservation of the seaside ecosystem for climate, biodiversity and prosperity of the people,” he said.",en,action plan to save mangroves,en,the state government will launch the sabah mangrove action plan as way forward to transform the management and conservation of mangrove forests in sabah said chief minister datuk seri hajiji haji noor he said the action plan is important and crucial since 60 per cent or 378195 hectares of the countrys mangrove forests are in sabah sabah has the largest mangrove forests in malaysia so it is important that we have an action plan that will serve as a guide on mangrove management and conservation it is also in consonance with the blue carbon initiative a global programme being coordinated to focus on the conservation and preservation of the seaside ecosystem for climate biodiversity and prosperity of the people he said,en,the state government will launch the sabah mangrove action plan as way forward to transform the management and conservation of mangrove forests in sabah said chief minister datuk seri hajiji haji noor he said the action plan is important and crucial since 60 per cent or 378195 hectares of the countrys mangrove forests are in sabah sabah has the largest mangrove forests in malaysia so it is important that we have an action plan that will serve as a guide on mangrove management and conservation it is also in consonance with the blue carbon initiative a global programme being coordinated to focus on the conservation and preservation of the seaside ecosystem for climate biodiversity and prosperity of the people he said,en,Positive
19,Role of engineers in mitigating climate change and global warming in Sabah,"The realities of climate change and global warming are no longer abstract concepts confined to scientific journals or global conferences nowadays. These phenomena have direct and tangible effects on regions worldwide, including Sabah, Malaysia. Known for its rich biodiversity, pristine rainforests, and vibrant coastal ecosystems, Sabah is increasingly under threat from the adverse impacts of climate change. The intensified frequent flooding, coastal erosion, and shifts in weather patterns are just some of the challenges that have emerged over the past decades. In view of these problems, engineers have an irreplaceable role in mitigating these challenges and ensuring that Sabah not only adapts to the changing climate but also contributes to the global effort to curb its progression. Engineering is a discipline rooted in problem-solving, and the solutions it can offer to climate-related issues are manifold. From renewable energy development to climate-resilient infrastructure and urban sustainability, engineers are at the forefront of creating a safer and more sustainable future for Sabah.",en,role of engineers in mitigating climate change and global warming in sabah,en,the realities of climate change and global warming are no longer abstract concepts confined to scientific journals or global conferences nowadays these phenomena have direct and tangible effects on regions worldwide including sabah malaysia known for its rich biodiversity pristine rainforests and vibrant coastal ecosystems sabah is increasingly under threat from the adverse impacts of climate change the intensified frequent flooding coastal erosion and shifts in weather patterns are just some of the challenges that have emerged over the past decades in view of these problems engineers have an irreplaceable role in mitigating these challenges and ensuring that sabah not only adapts to the changing climate but also contributes to the global effort to curb its progression engineering is a discipline rooted in problemsolving and the solutions it can offer to climaterelated issues are manifold from renewable energy development to climateresilient infrastructure and urban sustainability engineers are at the forefront of creating a safer and more sustainable future for sabah,en,the realities of climate change and global warming are no longer abstract concepts confined to scientific journals or global conferences nowadays these phenomena have direct and tangible effects on regions worldwide including sabah malaysia known for its rich biodiversity pristine rainforests and vibrant coastal ecosystems sabah is increasingly under threat from the adverse impacts of climate change the intensified frequent flooding coastal erosion and shifts in weather patterns are just some of the challenges that have emerged over the past decades in view of these problems engineers have an irreplaceable role in mitigating these challenges and ensuring that sabah not only adapts to the changing climate but also contributes to the global effort to curb its progression engineering is a discipline rooted in problemsolving and the solutions it can offer to climaterelated issues are manifold from renewable energy development to climateresilient infrastructure and urban sustainability engineers are at the forefront of creating a safer and more sustainable future for sabah,en,Positive
20,Climate actions: KK must take lead,"Kota Kinabalu must take the lead in climate actions for the cities in Sabah and set an example for other cities in Malaysia to emulate, said Assistant Minister to the Chief Minister Datuk Abidin Madingkir. He said the Kota Kinabalu City Hall (DBKK) is looking into several smart city projects, the use of Comprehensive Assessment System for Built Environment Efficiency (Casbee) for green building assessment, and renewable energy projects such as the mini-hydro project at Kiansom Waterfalls with Toyoma City of Japan. He said DBKK also wants to do a comprehensive study to track the city’s carbon footprint. Abidin said DBKK and the International Council for Local Environmental Initiative (ICLEI) had co-prepared the Kota Kinabalu Green City Action Plan in 2019, which is recognized as a Climate Action Plan by virtue of membership of the Global Covenant of Mayors for Climate and Energy (GCoM).",en,climate actions kk must take lead,en,kota kinabalu must take the lead in climate actions for the cities in sabah and set an example for other cities in malaysia to emulate said assistant minister to the chief minister datuk abidin madingkir he said the kota kinabalu city hall dbkk is looking into several smart city projects the use of comprehensive assessment system for built environment efficiency casbee for green building assessment and renewable energy projects such as the minihydro project at kiansom waterfalls with toyoma city of japan he said dbkk also wants to do a comprehensive study to track the citys carbon footprint abidin said dbkk and the international council for local environmental initiative iclei had coprepared the kota kinabalu green city action plan in 2019 which is recognized as a climate action plan by virtue of membership of the global covenant of mayors for climate and energy gcom,en,kota kinabalu must take the lead in climate actions for the cities in sabah and set an example for other cities in malaysia to emulate said assistant minister to the chief minister datuk abidin madingkir he said the kota kinabalu city hall dbkk is looking into several smart city projects the use of comprehensive assessment system for built environment efficiency casbee for green building assessment and renewable energy projects such as the minihydro project at kiansom waterfalls with toyoma city of japan he said dbkk also wants to do a comprehensive study to track the citys carbon footprint abidin said dbkk and the international council for local environmental initiative iclei had coprepared the kota kinabalu green city action plan in 2019 which is recognized as a climate action plan by virtue of membership of the global covenant of mayors for climate and energy gcom,en,Positive
21,Pengurusan alam sekitar perlu seimbang,"Dalam usaha menjadikan Sabah lebih maju dalam bidang bioteknologi, keseimbangan antara kehendak generasi sekarang dan akan datang perlu bagi menguruskan sumber alam semulajadi sama ada dari segi ekonomi mahupun pemuliharaannya. Menteri Pelancongan, Kebudayaan dan Alam Sekitar, Datuk Masidi Manjun berkata dalam pengurusan sumber, pihak berkenaan perlu mengambil langkah berhati-hati kerana ia turut membabitkan aktiviti ekonomi yang besar termasuklah dalam bidang pertanian, pembalakan, perlombongan dan pelancongan. “Saya melihat kajian dan bengkel ini adalah sebagai satu langkah yang baik dalam usaha menjadikan Sabah lebih maju dalam bidang bioteknologi dan farmasi dengan memanfaatkan biodiversiti dan pengetahuan asal,” katanya. Beliau berkata demikian ketika merasmikan Bengkel Mengakses dan Mengkomersilkan Biodiversiti dan Kajian Etno Hutan di sini, kelmarin. Ucapan beliau disampaikan oleh Pembantu Menteri Pelancongan, Kebudayaan dan Alam Sekitar, Datuk Ellron Angin.",ms,pengurusan alam sekitar perlu seimbang,id,dalam usaha menjadikan sabah lebih maju dalam bidang bioteknologi keseimbangan antara kehendak generasi sekarang dan akan datang perlu bagi menguruskan sumber alam semulajadi sama ada dari segi ekonomi mahupun pemuliharaannya menteri pelancongan kebudayaan dan alam sekitar datuk masidi manjun berkata dalam pengurusan sumber pihak berkenaan perlu mengambil langkah berhatihati kerana ia turut membabitkan aktiviti ekonomi yang besar termasuklah dalam bidang pertanian pembalakan perlombongan dan pelancongan saya melihat kajian dan bengkel ini adalah sebagai satu langkah yang baik dalam usaha menjadikan sabah lebih maju dalam bidang bioteknologi dan farmasi dengan memanfaatkan biodiversiti dan pengetahuan asal katanya beliau berkata demikian ketika merasmikan bengkel mengakses dan mengkomersilkan biodiversiti dan kajian etno hutan di sini kelmarin ucapan beliau disampaikan oleh pembantu menteri pelancongan kebudayaan dan alam sekitar datuk ellron angin,id,dalam usaha menjadikan sabah lebih maju dalam bidang bioteknologi keseimbangan antara kehendak generasi sekarang dan akan datang perlu bagi menguruskan sumber alam semulajadi sama ada dari segi ekonomi mahupun pemuliharaannya menteri pelancongan kebudayaan dan alam sekitar datuk masidi manjun berkata dalam pengurusan sumber pihak berkenaan perlu mengambil langkah berhatihati kerana ia turut membabitkan aktiviti ekonomi yang besar termasuklah dalam bidang pertanian pembalakan perlombongan dan pelancongan saya melihat kajian dan bengkel ini adalah sebagai satu langkah yang baik dalam usaha menjadikan sabah lebih maju dalam bidang bioteknologi dan farmasi dengan memanfaatkan biodiversiti dan pengetahuan asal katanya beliau berkata demikian ketika merasmikan bengkel mengakses dan mengkomersilkan biodiversiti dan kajian etno hutan di sini kelmarin ucapan beliau disampaikan oleh pembantu menteri pelancongan kebudayaan dan alam sekitar datuk ellron angin,id,Unknown
22,Lebih 700 pelajar sertai Hari Alam Sekitar Institut Sinaran,"Diadakan sempena Hari Alam Sekitar Sedunia, Institut Sinaran turut mengadakan pameran bertemakan ‘7 Billion Dreams. One Planet. Consume with Care’ bagi meningkatkan kesedaran masyarakat mengenai kepentingan alam sekitar. Pengerusi Lembaga Pentadbiran Institut Sinaran Fong Tet Kong berkata, semua masyarakat perlu bekerjasama bagi memastikan kesejahteraan serta kemapanan alam sekitar yang berterusan. “Kita harus bersama-sama membantu mengurangkan pencemaran, menjimatkan penggunaan sumber di samping mengurangkan lagi impak negatif terhadap alam sekitar. “Usaha ini penting bagi memastikan kestabilan dan kemapanan alam sekitar berterusan pada masa hadapan khususnya di Sabah,” katanya ketika majlis penutupan Hari Alam Sekitar Institut Sinaran, di sini kelmarin. Fong berkata, Sabah juga dalam usaha mencari penyelesaian yang terbaik bagi mencapai tahap kelestarian serta penggunaan sumber yang cekap. “Kita juga berbesar hati kerana begitu banyak usaha yang dilakukan dalam pengurusan sumber yang cekap sebagai contoh, kini terdapat empat juta hektar kawasan hutan, bakau, marin dan rizab hidupan liar serta kawasan perlindungan di Sabah yang diurus dengan baik,” katanya.",ms,lebih 700 pelajar sertai hari alam sekitar institut sinaran,id,diadakan sempena hari alam sekitar sedunia institut sinaran turut mengadakan pameran bertemakan 7 billion dreams one planet consume with care bagi meningkatkan kesedaran masyarakat mengenai kepentingan alam sekitar pengerusi lembaga pentadbiran institut sinaran fong tet kong berkata semua masyarakat perlu bekerjasama bagi memastikan kesejahteraan serta kemapanan alam sekitar yang berterusan kita harus bersamasama membantu mengurangkan pencemaran menjimatkan penggunaan sumber di samping mengurangkan lagi impak negatif terhadap alam sekitar usaha ini penting bagi memastikan kestabilan dan kemapanan alam sekitar berterusan pada masa hadapan khususnya di sabah katanya ketika majlis penutupan hari alam sekitar institut sinaran di sini kelmarin fong berkata sabah juga dalam usaha mencari penyelesaian yang terbaik bagi mencapai tahap kelestarian serta penggunaan sumber yang cekap kita juga berbesar hati kerana begitu banyak usaha yang dilakukan dalam pengurusan sumber yang cekap sebagai contoh kini terdapat empat juta hektar kawasan hutan bakau marin dan rizab hidupan liar serta kawasan perlindungan di sabah yang diurus dengan baik katanya,id,diadakan sempena hari alam sekitar sedunia institut sinaran turut mengadakan pameran bertemakan 7 billion dreams one planet consume with care bagi meningkatkan kesedaran masyarakat mengenai kepentingan alam sekitar pengerusi lembaga pentadbiran institut sinaran fong tet kong berkata semua masyarakat perlu bekerjasama bagi memastikan kesejahteraan serta kemapanan alam sekitar yang berterusan kita harus bersamasama membantu mengurangkan pencemaran menjimatkan penggunaan sumber di samping mengurangkan lagi impak negatif terhadap alam sekitar usaha ini penting bagi memastikan kestabilan dan kemapanan alam sekitar berterusan pada masa hadapan khususnya di sabah katanya ketika majlis penutupan hari alam sekitar institut sinaran di sini kelmarin fong berkata sabah juga dalam usaha mencari penyelesaian yang terbaik bagi mencapai tahap kelestarian serta penggunaan sumber yang cekap kita juga berbesar hati kerana begitu banyak usaha yang dilakukan dalam pengurusan sumber yang cekap sebagai contoh kini terdapat empat juta hektar kawasan hutan bakau marin dan rizab hidupan liar serta kawasan perlindungan di sabah yang diurus dengan baik katanya,id,Unknown
23,Pelan tindakan untuk pengurusan alam sekitar di semua daerah,"Kementerian Pembangunan Luar Bandar (KPLB) memberikan tempoh sehingga 15 Jun depan bagi semua daerah di Sabah yang mengikuti Kursus Pengurusan Alam Sekitar bagi mengemukakan satu pelan tindakan. Menterinya, Datuk Dr Ewon Ebin berkata, pelan tindakan itu diperlukan bagi memudahkan pengurusan alam sekitar di sesebuah daerah khususnya untuk melupuskan sampah. Katanya, kerajaan memang mengambil berat tanggungjawab dalam memulihara alam sekitar kerana pemuliharaan itu akan menjamin kesinambungan kehidupan di dunia.",ms,pelan tindakan untuk pengurusan alam sekitar di semua daerah,id,kementerian pembangunan luar bandar kplb memberikan tempoh sehingga 15 jun depan bagi semua daerah di sabah yang mengikuti kursus pengurusan alam sekitar bagi mengemukakan satu pelan tindakan menterinya datuk dr ewon ebin berkata pelan tindakan itu diperlukan bagi memudahkan pengurusan alam sekitar di sesebuah daerah khususnya untuk melupuskan sampah katanya kerajaan memang mengambil berat tanggungjawab dalam memulihara alam sekitar kerana pemuliharaan itu akan menjamin kesinambungan kehidupan di dunia,id,kementerian pembangunan luar bandar kplb memberikan tempoh sehingga 15 jun depan bagi semua daerah di sabah yang mengikuti kursus pengurusan alam sekitar bagi mengemukakan satu pelan tindakan menterinya datuk dr ewon ebin berkata pelan tindakan itu diperlukan bagi memudahkan pengurusan alam sekitar di sesebuah daerah khususnya untuk melupuskan sampah katanya kerajaan memang mengambil berat tanggungjawab dalam memulihara alam sekitar kerana pemuliharaan itu akan menjamin kesinambungan kehidupan di dunia,id,Unknown
