No.,Title ,Content,Language
11,Reducing impact of climate change top priority for Sabah,"Sabah will make efforts to reduce the impact of climate change as the state government’s main agenda through various measures and initiatives introduced to realise that goal, said Chief Minister Datuk Hajiji Noor. He said that commitment, among others, could be seen through the Sabah government’s target to plant about 36 million trees within five years until 2025 through the Malaysia Greening Programme initiative nationwide, themed “Greening Malaysia: Our Trees, Our Life”. So far, nearly 4.5 million trees have been planted nationwide through the programme, he said. “Sabah has also formed the Climate Change Action Council under the purview of the Sabah Forestry Department to discuss climate change policies and actions, drive green economic growth, catalyse green technology as well as low-carbon growth. “This is in line with Sabah’s policy on the environment as well as the nation’s aspiration, especially in the climate mitigation and adaptation processes. Climate change is among the main aspects in the policy and we are committed to taking all the necessary steps to ensure the air quality in the state will not become worse as a result of development activities,” he said when officiating the Sabah Climate Change International Conference 2021 on Tuesday.",en
12,Yayasan Sabah strengthens conservation efforts,"The Yayasan Sabah Group organised a Seminar of Maliau Basin Conservation Area’s Wildlife and Resources Survey on Thursday at the Shangri-La Tanjung Aru here. Officiated by the Assistant Minister to the Chief Minister of Sabah, Datuk Abidin bin Madingkir, the seminar featured the latest findings on biodiversity in the Maliau Basin Conservation Area (MBCA), in addition to strengthening conservation efforts in Sabah. In his speech, Abidin expressed appreciation to the Yayasan Sabah Group for conducting a 14-day survey in May 2024. This effort aims to obtain the latest data on wildlife, assess the threats faced, and explore the potential for ecotourism development in the Maliau Basin. He also highlighted Sabah as the “Land Below The Wind” and a paradise full of biodiversity, strengthening Malaysia’s position as a country with mega-biodiversity. “Sabah is blessed with natural beauty and rich biodiversity, which gives high value not only in terms of the environment but also the economy and socio-economics of the people,” said Abidin. “Conservation areas such as Danum Valley, Maliau Basin, and Mount Kinabalu are the main ecotourism attractions that also open up job opportunities for Sabahans,” he said further.",en
13,70% of endemic trees in Sabah threatened,"A book on Sabah’s endemic tree species was launched at the International Conference on Heart of Borneo at the Sabah International Convention Centre (SICC) here on Wednesday. The Red List of Sabah Endemic Trees compiles the conservation status assessment of 291 Sabah endemic tree species that have been validly published on the IUCN Red List of Threatened Species website from 2018 up to 2022. The compilation was derived from the initiative by the Sabah Forestry Department together with the Botanical Garden Conservation International (BGCI) and IUCN SSC Global Tree Specialist Group (GTSG), both are leading the Global Tree Assessment Initiative (GTA). Ninety-five per cent of the 291 species were largely assessed by researchers from the Sabah Forestry Department, Dr Colin Maycock and student interns from Universiti Malaysia Sabah.",en
14,Nearly 100 turn up for Sabah Climate Strike,"Close to 100 people gathered at The Pillars of Sabah around 3 pm yesterday to push the government into addressing the current climate crisis. Organizations and individuals representing various civil society organizations in Sabah had planned to march to the Segama Waterfront Boardwalk at 4 pm, but were stopped by the police. Participants were clad in green and black clothing, while many wore face masks in light of the current haze situation. The masks too were symbolic of human action ‘muting’ the environment. The event was organized as part of the Global Climate Strike, a movement that saw similar protests happening in hundreds of cities across the world.",en
15,Sabah first to launch policy on environment,"Chief Minister Datuk Seri Musa Aman launched the Sabah State Policy on the Environment during the 14th State Assembly Sitting here yesterday, making Sabah the first state to have initiated the formulation of the policy. The policy outlines strategies and action plans based on five thematic aspects of the environment, namely land, air, water, biodiversity and social dimension. To ensure effective implementation of the policy, the state government through the Ministry of Tourism, Culture and Environment has just completed 83 strategies and 195 action plans based on the thematic aspects. The action plans for the Sabah State Policy on the Environment will be implemented for 15 years from 2018 to 2033. The policy outlines three objectives, namely to provide a vision for environmental conditions and standards, an environmental framework for regulatory mechanisms, and guidance for all decision makers and implementing agencies in the execution of the mandates and duties.",en
16,Penampang school steps up environmental awareness,"SM St Michael, Penampang has stepped up its environmental awareness programme by engaging communities to play their role in preserving Mother Nature with tree-plating activities. “Deforestation is one of the biggest environment challenges that we’re currently facing. “Thus, as an educational institution, it is important to impart knowledge about current environmental issues not just to students, but also to the community. “Therefore, St Michael’s Penampang Secondary School being the trophy holder and award bearer of the ‘Sekolah Lestari, Mentor SERASI and Eco-School’, organized a programme to help communities understand better about current issues that are happening in our environment and also how they can play their role to preserve Mother Nature,” said the principal, Jennifer Asing. She said the school is enhancing its effort to raise environmental awareness among the communities by supporting The Malaysia Greening Programme: Plant 100 million trees campaign, which is a five-year long campaign initiated by the Ministry of Energy and Natural Resources.",en
17,Govt keen to work on environmental protection with organisations,"Six conservation and research organisations yesterday handed over a three-point call to action to the Sabah State Government, a move that saw both sides agreeing to work together to further map out the recommendations. Chief Minister Datuk Seri Musa Aman who received the one-page document from leaders of the organisations at Sri Gaya, near here, was positive about points that were raised. “I take note of your recommendations. Actually some of the steps have been taken or are in the process of implementation. “We will study the rest in further detail to see their viability and we are also keen to work with you in seeing the recommendations through,” Musa said.",en
18,Action plan to save mangroves,"The State Government will launch the Sabah Mangrove Action Plan as way forward to transform the management and conservation of mangrove forests in Sabah, said Chief Minister Datuk Seri Hajiji Haji Noor. He said the action plan is important and crucial since 60 per cent or 378,195 hectares of the country’s mangrove forests are in Sabah. “Sabah has the largest mangrove forests in Malaysia, so it is important that we have an action plan that will serve as a guide on mangrove management and conservation. “It is also in consonance with the Blue Carbon initiative, a global programme being coordinated to focus on the conservation and preservation of the seaside ecosystem for climate, biodiversity and prosperity of the people,” he said.",en
19,Role of engineers in mitigating climate change and global warming in Sabah,"The realities of climate change and global warming are no longer abstract concepts confined to scientific journals or global conferences nowadays. These phenomena have direct and tangible effects on regions worldwide, including Sabah, Malaysia. Known for its rich biodiversity, pristine rainforests, and vibrant coastal ecosystems, Sabah is increasingly under threat from the adverse impacts of climate change. The intensified frequent flooding, coastal erosion, and shifts in weather patterns are just some of the challenges that have emerged over the past decades. In view of these problems, engineers have an irreplaceable role in mitigating these challenges and ensuring that Sabah not only adapts to the changing climate but also contributes to the global effort to curb its progression. Engineering is a discipline rooted in problem-solving, and the solutions it can offer to climate-related issues are manifold. From renewable energy development to climate-resilient infrastructure and urban sustainability, engineers are at the forefront of creating a safer and more sustainable future for Sabah.",en
20,Climate actions: KK must take lead,"Kota Kinabalu must take the lead in climate actions for the cities in Sabah and set an example for other cities in Malaysia to emulate, said Assistant Minister to the Chief Minister Datuk Abidin Madingkir. He said the Kota Kinabalu City Hall (DBKK) is looking into several smart city projects, the use of Comprehensive Assessment System for Built Environment Efficiency (Casbee) for green building assessment, and renewable energy projects such as the mini-hydro project at Kiansom Waterfalls with Toyoma City of Japan. He said DBKK also wants to do a comprehensive study to track the city’s carbon footprint. Abidin said DBKK and the International Council for Local Environmental Initiative (ICLEI) had co-prepared the Kota Kinabalu Green City Action Plan in 2019, which is recognized as a Climate Action Plan by virtue of membership of the Global Covenant of Mayors for Climate and Energy (GCoM).",en
21,Pengurusan alam sekitar perlu seimbang,"Dalam usaha menjadikan Sabah lebih maju dalam bidang bioteknologi, keseimbangan antara kehendak generasi sekarang dan akan datang perlu bagi menguruskan sumber alam semulajadi sama ada dari segi ekonomi mahupun pemuliharaannya. Menteri Pelancongan, Kebudayaan dan Alam Sekitar, Datuk Masidi Manjun berkata dalam pengurusan sumber, pihak berkenaan perlu mengambil langkah berhati-hati kerana ia turut membabitkan aktiviti ekonomi yang besar termasuklah dalam bidang pertanian, pembalakan, perlombongan dan pelancongan. “Saya melihat kajian dan bengkel ini adalah sebagai satu langkah yang baik dalam usaha menjadikan Sabah lebih maju dalam bidang bioteknologi dan farmasi dengan memanfaatkan biodiversiti dan pengetahuan asal,” katanya. Beliau berkata demikian ketika merasmikan Bengkel Mengakses dan Mengkomersilkan Biodiversiti dan Kajian Etno Hutan di sini, kelmarin. Ucapan beliau disampaikan oleh Pembantu Menteri Pelancongan, Kebudayaan dan Alam Sekitar, Datuk Ellron Angin.",ms
22,Lebih 700 pelajar sertai Hari Alam Sekitar Institut Sinaran,"Diadakan sempena Hari Alam Sekitar Sedunia, Institut Sinaran turut mengadakan pameran bertemakan ‘7 Billion Dreams. One Planet. Consume with Care’ bagi meningkatkan kesedaran masyarakat mengenai kepentingan alam sekitar. Pengerusi Lembaga Pentadbiran Institut Sinaran Fong Tet Kong berkata, semua masyarakat perlu bekerjasama bagi memastikan kesejahteraan serta kemapanan alam sekitar yang berterusan. “Kita harus bersama-sama membantu mengurangkan pencemaran, menjimatkan penggunaan sumber di samping mengurangkan lagi impak negatif terhadap alam sekitar. “Usaha ini penting bagi memastikan kestabilan dan kemapanan alam sekitar berterusan pada masa hadapan khususnya di Sabah,” katanya ketika majlis penutupan Hari Alam Sekitar Institut Sinaran, di sini kelmarin. Fong berkata, Sabah juga dalam usaha mencari penyelesaian yang terbaik bagi mencapai tahap kelestarian serta penggunaan sumber yang cekap. “Kita juga berbesar hati kerana begitu banyak usaha yang dilakukan dalam pengurusan sumber yang cekap sebagai contoh, kini terdapat empat juta hektar kawasan hutan, bakau, marin dan rizab hidupan liar serta kawasan perlindungan di Sabah yang diurus dengan baik,” katanya.",ms
23,Pelan tindakan untuk pengurusan alam sekitar di semua daerah,"Kementerian Pembangunan Luar Bandar (KPLB) memberikan tempoh sehingga 15 Jun depan bagi semua daerah di Sabah yang mengikuti Kursus Pengurusan Alam Sekitar bagi mengemukakan satu pelan tindakan. Menterinya, Datuk Dr Ewon Ebin berkata, pelan tindakan itu diperlukan bagi memudahkan pengurusan alam sekitar di sesebuah daerah khususnya untuk melupuskan sampah. Katanya, kerajaan memang mengambil berat tanggungjawab dalam memulihara alam sekitar kerana pemuliharaan itu akan menjamin kesinambungan kehidupan di dunia.",ms
24,Penduduk mahu pembalakan haram dihentikan,"Penduduk rumah panjang di Batu 9, Jalan Teku di sini memohon jasa baik pihak berkaitan menghentikan aktiviti pembalakan haram di Batu 8, Jalan Oya (belakang Taman Permai/Kampung Jeriah) di sini. Tuai Rumah Johnny Suan, 41, mewakili penduduknya berkata, kegiatan terbabit berlaku sejak Jun lalu. “Kami pernah melaporkan perkara ini di Balai Polis Sungai Merah pada 24 Jun lalu. Selepas itu, pihak berkenaan mengambil tindakan sewajarnya kepada pembalak haram terbabit. Namun, tidak lama selepas itu kegiatan itu beroperasi kembali. “Ia terus beroperasi sehingga kami membuat laporan polis lagi pada 19 November lalu. Bagaimanapun, aktiviti pembalakan haram masih lagi diteruskan sehingga kini,” katanya di sini semalam. Johnny mendakwa, selain melakukan aktiviti haram individu atau syarikat terbabit dikatakan menceroboh tanah Hak Adat Bumiputera (NCR) atau lebih dikenali dalam bahasa tempatan ‘Pemakai Menua’ milik tiga penduduk rumah panjang di sini.",ms
25,Didik golongan muda prihatin terhadap pemuliharaan alam sekitar,"Golongan muda harus dididik dan disedarkan mengenai pentingnya pemuliharaan alam sekitar untuk keseimbangan alam semula jadi dan ekosistem memandangkan isu ketidakseimbangan alam kian meruncing. Residen Bahagian Sarikei Dr Anthony Valentine Laiseh berkata melalui kesedaran itu, generasi muda dapat memain peranan lebih aktif dan menggembleng tenaga melindungi alam sekitar serta menyelesaikan masalah berkaitan isu persekitaran. “Pelestarian alam sekitar merupakan isu penting yang harus disemai dalam kalangan generasi muda ke arah mengekal keindahan alam semula jadi untuk tatapan generasi akan datang. “Alam semula jadi khazanah paling berharga.  Pemusnahan dan penebangan hutan secara berleluasa tanpa kawalan harus dipandang serius oleh semua pihak dan tidak meletakkannya sebagai tanggungjawab satu pihak sahaja.",ms
26,Sabah tubuh Majlis Tindakan Iklim tangani isu perubahan iklim,"Kerajaan Negeri telah menubuhkan Majlis Tindakan lklim Sabah yang bertindak dalam menetapkan hala tuju dan menyelaras projek-projek mitigasi dan adaptasi perubahan iklim di peringkat negeri, kata Ketua Menteri, Datuk Seri Hajiji Noor. Katanya, Sabah telah membuat pindaan ke atas Ordinan Tanah Sabah Bab 68, dengan memasukkan peruntukan perundangan berkaitan penyimpanan karbon yang mula berkuat kuasa pada 19 Jun 2023. “Selain itu, Sabah juga baru sahaja menyelesaikan kajian inventori ""greenhouse gas"" Sabah dan penilaian kerentanan untuk pembangunan Dasar Perubahan lklim Sabah ke arah pembangunan rendah karbon Sabah,” katanya menurut kenyataan media.",ms
27,Kumpulan Sawit Kinabalu ke arah tenaga boleh diperbaharui,"Kumpulan Sawit Kinabalu komited dalam memberi fokus untuk memantau tenaga boleh diperbaharui dan kesan rumah hijau, khasnya berkaitan aktiviti sawit dan mitigasi berkenaan perubahan iklim semasa. Pengurus Besar Bahagian Kelestarian Kumpulan Sawit Kinabalu, Nazlan Mohamad berkata, ia dilaksanakan Unit Karbon dan Perubahan Iklim yang baru diwujudkan sejak Jun tahun ini. Jelasnya, unit ini penting dalam memahami perubahan iklim semasa. khasnya di Sabah, dan dalam usaha melestari alam sekitar.",ms
28,Sabah komited dasar alam sekitar proaktif,"Sabah menerusi usaha Kementerian Pelancongan, Kebudayaan dan Alam Sekitar (KePKAS) komited dalam usaha dasar alam sekitar yang proaktif, khasnya bagi pembangunan mampan dan mengikut standard sewajarnya. Menterinya, Datuk Seri Christina Liew berkata Dasar Negeri Sabah mengenai Akta Perlindungan Alam Sekitar 2017 dan Enakmen Perlindungan Alam Sekitar 2002 berperanan khusus sebagai rangka kerja kritikal untuk membimbing komitmen negeri terhadap usaha pemuliharaan dan kemampanan. “Alam sekitar kita adalah elemen penting dan menjadi tonggak strategik dalam pembangunan mampan, dan pastinya memerlukan penggunaan dasar yang sesuai dengan menggabungkan faktor dan piawaian alam sekitar ke dalam semua aktiviti pembangunan untuk mengekalkan kelestarian alam sekitar dan sosial,” katanya pada Majlis Sambutan Hari Alam Sekitar Kebangsaan 2024, Peringkat Negeri Sabah di sini, Isnin malam.",ms
29,Biodiversiti Sabah tarik perhatian universiti dari United Kingdom,"Pemeliharaan dan pemuliharaan biodiversiti di Tapak Warisan Dunia Taman Kinabalu menarik perhatian pelajar universiti dari Swansea University, United Kingdom. Datang dari pelbagai latar belakang, sekumpulan 25 pelajar tahun ketiga Biologi ini mengadakan lawatan sambil belajar ke Taman Kinabalu hujung minggu lalu, di mana mereka dimaklumkan mengenai inisiatif perlindungan dan pemuliharaan alam sekitar Sabah. Pelajar-pelajar ini yang diketuai oleh Dr. Aisling Devine disambut mesra oleh Pegawai Penyelidik Ekologi Taman-Taman Sabah, Vanielie Terrence Justine, Sabtu lalu. Tujuan utama lawatan ini adalah untuk mempelajari lebih lanjut tentang flora dan fauna di Taman Kinabalu, yang merupakan Tapak Warisan Dunia Unesco. ",ms
30,Sabah kekal 64 peratus kawasan litupan hutan,"Sabah pada masa ini mengekalkan 64 peratus daripada keluasan negeri ini sebagai litupan hutan dalam usaha melindungi khazanah semulajadi Negeri di Bawah Bayu ini, kata Ketua Menteri Datuk Seri Hajiji Noor. Beliau berkata kawasan itu juga meliputi 3.84 juta hektar atau 52 peratus keluasan negeri sebagai  kawasan yang diwartakan sebagai kawasan hutan simpan dan kawasan perlindungan lain. Katanya, langkah itu juga selaras dengan komitmen Kerajaan Sabah untuk mengekalkan sekurang-kurangnya 50 peratus daripada keluasan negeri ini sebagai litupan hutan negeri sejajar dengan Dasar Hutan Sabah 2018. “Bagi memperkasa pengurusan hutan negeri dan melindungi khazanah penting itu, Sabah telah mewartakan sehingga 1.9 juta hektar atau 26.4 peratus sebagai Kawasan Terlindung Sepenuhnya. Ia penting bagi mencapai sasaran 2.2 juta hektar atau 30 peratus daripada keluasan negeri (sebagai Kawasan Terlindung Sepenuhnya) menjelang 2025,” katanya dalam ucapan pelancaran Hari Hutan Antarabangsa 2023 Peringkat Negeri Sabah di Rainforest Discovery Centre (RDC) di sini, Khamis.",ms
31,‘Lindungi biodiversiti Sabah libatkan semua’,"Biodiversiti Sabah yang tidak ternilai adalah warisan negara, dan perlindungannya adalah tanggungjawab bersama untuk memastikan ia dapat dinikmati generasi akan datang, kata Ketua Menteri Datuk Seri Hajiji Noor. “Penjagaan sumber asli negeri dengan baik tidak mungkin dilakukan tanpa dasar yang jelas,” katanya, mengulangi komitmen kepimpinan negeri terhadap pemuliharaan dan perlindungan keajaiban alam negeri, supaya ia dapat dinikmati oleh generasi masa kini dan akan datang.",ms
32,#Karnival Jari Hijau Sabah 2016 platform promosi usaha konservasi,"Melihat Sabah amat mementingkan usaha pemuliharaan alam sekitar, Ripples Consultancy Sdn Bhd mengambil langkah menganjurkan #Karnival Jari Hijau Sabah 2016 bagi meneruskan usaha meningkatkan kesedaran mengenai kepentingan konservasi kepada masyarakat di negeri ini. Pengarah Ripples Consultancy Freddy Tan berkata bagi memastikan pertubuhan bukan kerajaan (NGO) mempunyai medium yang lebih besar untuk mempromosikan usaha konservasi maka, syarikat konsultasi itu mengambil inisiatif menyediakan platform berkenaan. Kebiasaannya, NGO bergerak secara sendiri meningkatkan kesedaran mengenai konservasi kepada orang awam. Maka, dengan adanya karnival sedemikian, ia diharap dapat menghimpunkan NGO berkaitan untuk bersatu mempromosikan usaha konservasi kepada masyarakat Sabah secara keseluruhannya.",ms
33,Lebih 700 pelajar sertai Hari Alam Sekitar Institut Sinaran,"Lebih 700 pelajar daripada 21 sekolah menengah sekitar Sabah telah menyertai Hari Alam Sekitar anjuran Institut Sinaran. Diadakan sempena Hari Alam Sekitar Sedunia, Institut Sinaran turut mengadakan pameran bertemakan ‘7 Billion Dreams. One Planet. Consume with Care’ bagi meningkatkan kesedaran masyarakat mengenai kepentingan alam sekitar. Pengerusi Lembaga Pentadbiran Institut Sinaran Fong Tet Kong berkata, semua masyarakat perlu bekerjasama bagi memastikan kesejahteraan serta kemapanan alam sekitar yang berterusan. “Kita harus bersama-sama membantu mengurangkan pencemaran, menjimatkan penggunaan sumber di samping mengurangkan lagi impak negatif terhadap alam sekitar. “Usaha ini penting bagi memastikan kestabilan dan kemapanan alam sekitar berterusan pada masa hadapan khususnya di Sabah,” katanya ketika majlis penutupan Hari Alam Sekitar Institut Sinaran, di sini kelmarin.",ms
34,Sabah Terajui Kelestarian Alam Sekitar Secara Konsisiten,"Kerajaan negeri terus menerajui kelestarian alam sekitar melalui inisiatif pengurusan yang konsisten.Menteri Sumber Asli dan Kelestarian Alam, Nik Nazmi Nik Ahmad berkata inisiatif yang dilaksanakan merupakan usaha berterusan agar kelestarian alam sekitar terus terpelihara. “Melalui kajian yang dijalankan oleh National Geographic mendedahkan bahawa bagi keluasan 10 kilometer persegi, Sabah mempunyai lebih banyak flora dan fauna berbanding benua Amerika Utara dan Eropah. “Usaha ini menunjukkan komitmen kerajaan negeri dalam melestarikan alam melalui pelbagai inisiatif seperti pengurusan sungai yang cemerlang serta program kesedaran alam sekitar yang konsisten.",ms
35,Mobiliti Mampan & Tenaga Boleh Baharu dilancar di Sabah,"Sustainable Future (SF), bersama rakan strategik Borneo Sabah Energy (BSE) dan Koperasi Permodalan FELDA (KPF) sebagai syarikat bersekutu melancarkan Projek “Sustainable Mobility (Electric Vehicle) & Renewable Energy Solution” di Pusat Konvensyen Antarabangsa Sabah (SICC) di sini, hari ini. Majlis pelancaran disempurnakan oleh Yang di-Pertua Negeri Sabah Tun Juhar Mahiruddin. Turut hadir isteri Tun Juhar, Toh Puan Norlidah RM Jasni dan Pembantu Menteri Kepada Ketua Menteri Datuk Nizam Abu Bakar Titingan. Majlis ini mencerminkan usaha bersama ketiga-tiga organisasi untuk memperkukuh agenda tenaga hijau di Sabah, sekaligus menjadi langkah penting dalam merealisasikan aspirasi negeri ini ke arah pembangunan mampan. Pengerusi SF, Datuk Mohd Banuri Aris berkata sebagai peneraju dalam teknologi mampan, SF terus komited untuk memperkenalkan penyelesaian inovatif yang bukan sahaja mesra alam tetapi juga menyokong pertumbuhan ekonomi. “Dengan mengintegrasikan penggunaan Kenderaan Elektrik (EV) dan tenaga boleh baharu, SF percaya teknologi ini adalah kunci utama dalam menangani cabaran perubahan iklim serta mengubah landskap pengangkutan di Sabah.",ms
